fold,comparison,delta_roc_auc,delta_pr_auc,delta_f1,delta_brier,delta_ece
0,tokens_vs_numeric,-0.00836096274505449,-0.0048656379806428784,0.0,4.957378266778889e-07,2.610886956744274e-06
0,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
1,tokens_vs_numeric,0.027485402494330957,0.01772070584134816,0.007896221094190638,0.00017913175678002657,0.001235621730537203
1,fusion_vs_tokens,-0.004210034013605424,-0.003955647821228703,-0.007896221094190638,-0.0001116470448169482,-0.002212141526514798
2,tokens_vs_numeric,-0.00642930664018504,-0.027726108786645,-0.05504024447369518,0.0005778491248426831,-0.005728993908362286
2,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
3,tokens_vs_numeric,0.02490535981250863,0.021980123965151366,-0.0019120445759127714,-0.0015805544397939353,-0.004291868792368453
3,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
4,tokens_vs_numeric,-0.0047460189986247014,0.005864447217192814,0.0005586613614300129,0.000273958822309045,-0.0024131058641608458
4,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
5,tokens_vs_numeric,-0.006685804386028171,-0.0046112032230947175,0.0,-2.525767953120983e-07,-7.068894296913264e-06
5,fusion_vs_tokens,-0.0014383380274909374,-0.005062936977151544,0.0,2.3061975656379907e-06,1.4405227061864423e-05
6,tokens_vs_numeric,-0.006388112403921786,-0.016821999157078826,0.0,-9.430789519659921e-05,-0.0007637348605046557
6,fusion_vs_tokens,0.013552368289656891,0.010997155180212936,0.010232558139534883,3.085241760075741e-05,0.0007623253278555009
7,tokens_vs_numeric,-0.004373612089042966,0.007548716727926674,0.0348575837890428,-0.0002411000638188332,-0.001111511019423781
7,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
