fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
0,numeric_only,test,0.5103038865009468,0.4549360021725955,0.6157903991559698,0.25177988280709934,0.06942622624260864,3936,0.444867879152298,,
1,numeric_only,test,0.4901758786848074,0.4554384702684207,0.0,0.2491461343398436,0.01980584324020851,3766,0.46468400955200195,,
2,numeric_only,test,0.5085841202406065,0.4618644984059614,0.07566999474513926,0.2465284084225087,0.03478736476580191,4074,0.4374079406261444,3.362012040544518,-1.133990774705491
3,numeric_only,test,0.5080773411029234,0.5745264048236405,0.0028694404591104736,0.2628004068838248,0.1317151117406424,3686,0.5661964416503906,0.9911356545714268,0.14180537338645643
4,numeric_only,test,0.49948279474152835,0.5379075576738979,0.6999198075380915,0.24920674215614413,0.026206025052256426,4074,0.539027988910675,0.8435346536864986,0.022539518387695967
5,numeric_only,test,0.5093017741508389,0.4553860275979821,0.6172006745362564,0.25571090531901913,0.09268682020705787,4100,0.44634145498275757,,
6,numeric_only,test,0.4941714768807117,0.5220593436404617,0.0,0.25496361563056413,0.07187334222414501,4116,0.5179786086082458,,
7,numeric_only,test,0.5185010092950975,0.5063162011692883,0.6219512195121951,0.25056223329928656,0.03046153476834949,3920,0.4908163249492645,0.024372985798450465,0.4779867548333852
0,numeric_tokens,test,0.5019429237558923,0.4500703641919526,0.6157903991559698,0.251780378544926,0.06942883712956538,3936,0.444867879152298,,
1,numeric_tokens,test,0.5176612811791383,0.4731591761097689,0.007896221094190638,0.24932526609662362,0.021041464970745712,3766,0.46468400955200195,-2.8812266581856076,1.7829619280854723
2,numeric_tokens,test,0.5021548136004215,0.4341383896193164,0.02062975027144408,0.24710625754735138,0.029058370857439623,4074,0.4374079406261444,-0.5819179369009622,0.6582378600323662
3,numeric_tokens,test,0.532982700915432,0.5965065287887918,0.0009573958831977022,0.26121985244403084,0.12742324294827395,3686,0.5661964416503906,2.1595292999233857,-0.38124850937688237
4,numeric_tokens,test,0.49473677574290365,0.5437720048910907,0.7004784688995215,0.24948070097845318,0.02379291918809558,4074,0.539027988910675,1.3205723282000021,-0.20421773287841405
5,numeric_tokens,test,0.5026159697648107,0.45077482437488736,0.6172006745362564,0.2557106527422238,0.09267975131276096,4100,0.44634145498275757,,
6,numeric_tokens,test,0.48778336447678994,0.5052373444833829,0.0,0.25486930773536753,0.07110960736364036,4116,0.5179786086082458,,
7,numeric_tokens,test,0.5141273972060545,0.513864917897215,0.6568088033012379,0.25032113323546773,0.02935002374892571,3920,0.4908163249492645,0.7719022314533991,0.11679417702628503
0,ts_text_fusion,test,0.5019429237558923,0.4500703641919526,0.6157903991559698,0.251780378544926,0.06942883712956538,3936,0.444867879152298,,
1,ts_text_fusion,test,0.5134512471655329,0.4692035282885402,0.0,0.24921361905180667,0.018829323444230914,3766,0.46468400955200195,-1.1570172613600413,0.9805456007369637
2,ts_text_fusion,test,0.5021548136004215,0.4341383896193164,0.02062975027144408,0.24710625754735138,0.029058370857439623,4074,0.4374079406261444,-0.5819179369009622,0.6582378600323662
3,ts_text_fusion,test,0.532982700915432,0.5965065287887918,0.0009573958831977022,0.26121985244403084,0.12742324294827395,3686,0.5661964416503906,2.1595292999233857,-0.38124850937688237
4,ts_text_fusion,test,0.49473677574290365,0.5437720048910907,0.7004784688995215,0.24948070097845318,0.02379291918809558,4074,0.539027988910675,1.3205723282000021,-0.20421773287841405
5,ts_text_fusion,test,0.5011776317373198,0.4457118873977358,0.6172006745362564,0.25571295893978946,0.09269415653982283,4100,0.44634145498275757,,
6,ts_text_fusion,test,0.5013357327664468,0.5162344996635958,0.010232558139534883,0.2549001601529683,0.07187193269149586,4116,0.5179786086082458,0.9813918036222797,0.1011293265358495
7,ts_text_fusion,test,0.5141273972060545,0.513864917897215,0.6568088033012379,0.25032113323546773,0.02935002374892571,3920,0.4908163249492645,0.7719022314533991,0.11679417702628503
