symbol,n_days,n_filing,n_folds,roc_auc_lm1n_all,pr_auc_lm1n_all,f1_lm1n_all,brier_lm1n_all,ece_lm1n_all,roc_auc_lm1n_filing,pr_auc_lm1n_filing,f1_lm1n_filing,brier_lm1n_filing,ece_lm1n_filing,roc_auc_lm2v_all,pr_auc_lm2v_all,f1_lm2v_all,brier_lm2v_all,ece_lm2v_all,roc_auc_lm2v_filing,pr_auc_lm2v_filing,f1_lm2v_filing,brier_lm2v_filing,ece_lm2v_filing,roc_auc_lm3t_all,pr_auc_lm3t_all,f1_lm3t_all,brier_lm3t_all,ece_lm3t_all,roc_auc_lm3t_filing,pr_auc_lm3t_filing,f1_lm3t_filing,brier_lm3t_filing,ece_lm3t_filing,roc_auc_gm1n_all,pr_auc_gm1n_all,f1_gm1n_all,brier_gm1n_all,ece_gm1n_all,roc_auc_gm1n_filing,pr_auc_gm1n_filing,f1_gm1n_filing,brier_gm1n_filing,ece_gm1n_filing,roc_auc_gm2v_all,pr_auc_gm2v_all,f1_gm2v_all,brier_gm2v_all,ece_gm2v_all,roc_auc_gm2v_filing,pr_auc_gm2v_filing,f1_gm2v_filing,brier_gm2v_filing,ece_gm2v_filing,roc_auc_gm3t_all,pr_auc_gm3t_all,f1_gm3t_all,brier_gm3t_all,ece_gm3t_all,roc_auc_gm3t_filing,pr_auc_gm3t_filing,f1_gm3t_filing,brier_gm3t_filing,ece_gm3t_filing,roc_auc_le12_all,pr_auc_le12_all,f1_le12_all,brier_le12_all,ece_le12_all,roc_auc_le12_filing,pr_auc_le12_filing,f1_le12_filing,brier_le12_filing,ece_le12_filing,roc_auc_le3_all,pr_auc_le3_all,f1_le3_all,brier_le3_all,ece_le3_all,roc_auc_le3_filing,pr_auc_le3_filing,f1_le3_filing,brier_le3_filing,ece_le3_filing,roc_auc_ge12_all,pr_auc_ge12_all,f1_ge12_all,brier_ge12_all,ece_ge12_all,roc_auc_ge12_filing,pr_auc_ge12_filing,f1_ge12_filing,brier_ge12_filing,ece_ge12_filing,roc_auc_ge3_all,pr_auc_ge3_all,f1_ge3_all,brier_ge3_all,ece_ge3_all,roc_auc_ge3_filing,pr_auc_ge3_filing,f1_ge3_filing,brier_ge3_filing,ece_ge3_filing,roc_auc_lt12_all,pr_auc_lt12_all,f1_lt12_all,brier_lt12_all,ece_lt12_all,roc_auc_lt12_filing,pr_auc_lt12_filing,f1_lt12_filing,brier_lt12_filing,ece_lt12_filing,roc_auc_lt3_all,pr_auc_lt3_all,f1_lt3_all,brier_lt3_all,ece_lt3_all,roc_auc_lt3_filing,pr_auc_lt3_filing,f1_lt3_filing,brier_lt3_filing,ece_lt3_filing,roc_auc_cx_all,pr_auc_cx_all,f1_cx_all,brier_cx_all,ece_cx_all,roc_auc_cx_filing,pr_auc_cx_filing,f1_cx_filing,brier_cx_filing,ece_cx_filing
ABB,488,103,8,0.5342058447302025,0.550148303358815,0.3007567448245414,0.2766018108619012,0.19273865753712505,0.4444444444444444,0.4816849816849817,0.4,0.22780997523297555,0.2636022171022679,0.48640607476564557,0.5227321531488921,0.29337845788004857,0.2905499317818983,0.18948615127969304,0.5,0.33958333333333335,0.0,0.24338830789000052,0.17265789531134496,0.4779352743266434,0.5257991164501781,0.3435905545392126,0.28784348080224637,0.22277047183963608,0.5,0.41025641025641024,0.5,0.23217832742425537,0.1461396603779941,0.536787130410838,0.5345160051869016,0.38790518252297207,0.26383068435209966,0.13961602297394848,0.625,0.3745421245421245,0.2857142857142857,0.217171775632508,0.14190475348724896,0.5493080796387892,0.5513069547161433,0.4048375877323246,0.2991937451621292,0.23722172393663163,0.4722222222222222,0.4784090909090909,0.4,0.23596619040555675,0.2291849312692809,0.47586791464650174,0.517995163404496,0.3682750435974575,0.28703287665214305,0.19345513120477187,0.4861111111111111,0.3382867132867133,0.3333333333333333,0.25176766423368996,0.1821293807620219,0.5200012292920344,0.5474684215281327,0.34319281735196416,0.29295777086911645,0.20894357415497594,0.41666666666666663,0.3227564102564102,0.36363636363636365,0.24927001294756715,0.18660647908470962,0.5134852312503471,0.5627928056874874,0.3352820047466145,0.30507593102964126,0.22125795093935627,0.5833333333333334,0.5520833333333333,0.4,0.237784589506502,0.23926621867721742,0.5191198242517948,0.5225467616630246,0.2747016154639994,0.28339592364010563,0.1874277706635764,0.625,0.3715277777777778,0.6153846153846154,0.2982890965677728,0.3707588727741532,0.5171913609805214,0.5210081301353187,0.28219878276593335,0.27572164113410536,0.16054544633725898,0.513888888888889,0.3534382284382284,0.3333333333333333,0.24278204126506683,0.174636911727309,0.521320669070904,0.5414705265413595,0.254102232823163,0.2890361365019972,0.21991993153312026,0.4444444444444444,0.4816849816849817,0.4,0.22785942855566965,0.26706017093343665,0.4917871124657622,0.5291939879230315,0.22627165397771154,0.2695285467728242,0.15630393226478972,0.41666666666666663,0.47335164835164834,0.0,0.24313487319974567,0.1730625053815018,0.4940130386617699,0.5252605248435835,0.22942583732057414,0.27116952418503204,0.15433771958559672,0.5833333333333334,0.551923076923077,0.0,0.2401286747806877,0.1678638689203052
ADANIENSOL,488,156,8,0.5347208548030916,0.5836666080785028,0.35980010750130814,0.29604587590546255,0.20520105706446531,0.4598958333333334,0.5813587980841132,0.3040709290709291,0.31904549658566494,0.29380089064994325,0.4925218956202896,0.5425980484079678,0.3549959235008595,0.27050066804861317,0.15595304530206525,0.46237244897959184,0.5759369054375182,0.3456293706293706,0.27255984564207797,0.16880982822818513,0.5131042061832503,0.5275595772477383,0.3321481983588687,0.2670850539666101,0.13061932742356921,0.511344954648526,0.5624416142719715,0.3803248834498834,0.27752104791794024,0.19291911165245995,0.5027657883661173,0.5267969983437508,0.3234244390225105,0.26733253013801545,0.15466358269923242,0.49409722222222224,0.5606209281498147,0.3223339160839161,0.2718045544395786,0.1798482759646193,0.5189207502307347,0.5401396088676985,0.377748020029126,0.2621247645631232,0.125351892730338,0.47719316893424035,0.5444636535169624,0.34767786561264824,0.2706789924727062,0.20758552083352383,0.48233066479873754,0.5298270986199759,0.36775500499956526,0.2877522599810802,0.1884224855150394,0.45727572278911566,0.5448981622563556,0.2967948717948718,0.2959106569224893,0.22414361163052893,0.5224621232167672,0.5511535929459371,0.3956710957001135,0.28097264676358946,0.17391491798090247,0.47952097505668934,0.5998927232930209,0.4351134976134976,0.28786346210638525,0.2596208914413948,0.537760135264489,0.5673317646747691,0.373692981221999,0.28388677805848583,0.18898806431356563,0.5366850907029479,0.6173776660123386,0.39642302142302144,0.28262062940744065,0.246447075428592,0.5287436944487545,0.5548211684413742,0.3041398411253806,0.2640380954823785,0.12441501598368551,0.49274907879818597,0.577745915350082,0.3011849261849262,0.26061061290261633,0.15803635161936655,0.49964927315546503,0.5416833006090211,0.41200442876089427,0.2832891936884839,0.1843958754317539,0.4695365646258503,0.563148846935174,0.4105730625583567,0.2853802960174931,0.21236043353132722,0.5266239550532315,0.5748309864709893,0.4101924414035244,0.3054385172348647,0.23377275801789457,0.4849206349206349,0.5931887877042814,0.3540709290709291,0.32610760983688325,0.3151102587081668,0.496680394106381,0.5333873169899039,0.28646307344861294,0.263031885192537,0.12500729581409017,0.452140022675737,0.5512915238696487,0.26835664335664333,0.27055066087480706,0.1655260422760266,0.4755673189433832,0.5442586198453698,0.3420338572141229,0.26624853503273604,0.13631214161119093,0.4207801870748299,0.5416028961118247,0.31093906093906093,0.27581131709919526,0.18751857499294167
ADANIENT,488,209,8,0.5520472005920922,0.5419673646174751,0.25713951227344084,0.2914788892010437,0.20606844291633314,0.5551260247688818,0.5870659469961458,0.29736394557823126,0.2722076279459544,0.22062585725689687,0.4744987887499498,0.5012428226797794,0.3123115523652836,0.2742661850921873,0.15195858252143626,0.45826356183499034,0.5284635184325496,0.3663574520717378,0.2652369128125867,0.21956956947773554,0.4572786290220501,0.4854358933280717,0.26478732543351186,0.2868978696141219,0.2098020516069915,0.45296092796092796,0.5168840058336036,0.2677361853832442,0.2942098099763698,0.3069002114516323,0.4694770799734035,0.4719889236121439,0.2837041569257744,0.2880742673575998,0.18669207991176895,0.411734693877551,0.45222245357473134,0.29071325499896933,0.28606593688786114,0.19597727858386874,0.5014639207291104,0.48037007051653324,0.1809375,0.2540606163280521,0.09053262706897944,0.5276153410081982,0.476668607082141,0.18136249715197086,0.24901305935112847,0.1681701271391079,0.5099220005320044,0.4988369968210509,0.25329502332892784,0.2634937723922359,0.1619209479652332,0.5304192830978545,0.49557772286053076,0.2459883474921069,0.25919655667175107,0.20023484742071668,0.44430160042485894,0.49298933254400307,0.2484890848994965,0.27899934490185097,0.17160924394912155,0.5234802895517181,0.5809011759754471,0.30327234342012666,0.2617073204968779,0.21022904727704672,0.4723491842909412,0.5006198340371919,0.3105600996225996,0.25879926358801925,0.12919369006883707,0.48378684807256234,0.5425586877314116,0.37308092365300605,0.2513505492265601,0.16756506939189775,0.5130266071074894,0.4949606093104559,0.25821191896156465,0.26680326357107986,0.15086879178102042,0.4443855747427176,0.4728346293942269,0.2016079158936302,0.2719694962582532,0.23009994528008373,0.48461216683643155,0.4742509856480438,0.19181300950936103,0.27162691701883046,0.15510764390773435,0.420965245072388,0.44838599207786356,0.14585034013605444,0.26851680949035345,0.1895598271161983,0.5406434954364521,0.5458894354815319,0.30844243475822425,0.2899729593133895,0.19912482944045518,0.5277734170591313,0.5594138810438842,0.3437358276643991,0.27821105103083044,0.2177644849373384,0.5117979077595951,0.5226894120530282,0.20635849507927828,0.2566467872770435,0.09653937323669591,0.4744854351997209,0.5081709381870324,0.23277674706246135,0.2462149528770665,0.15525058793732338,0.4821799843674843,0.49091935450178703,0.1986825980392157,0.2597334242699584,0.12541560656653955,0.4351299494156637,0.4947677047795702,0.2292053184910328,0.2515163007425348,0.1697063376371484
ADANIGREEN,488,205,8,0.5048624672210645,0.47228124232174384,0.3242750468667978,0.27465745053216495,0.18894047832224292,0.5514429436304435,0.5566487672791733,0.37431110653093413,0.2725471687555958,0.18850968089926456,0.4698178722358587,0.45369853261390236,0.3052044561621175,0.26743737771224807,0.14319585546889776,0.513467261904762,0.5343862658599696,0.3117158067158067,0.2638738731932162,0.1815730997861806,0.5278581006097975,0.490210133840221,0.26896719456093404,0.2467358656760142,0.11954883008775205,0.5855838027713027,0.5925698644599642,0.30343738387216646,0.24196563731168694,0.12974739690197953,0.5526265966311215,0.4854016172424648,0.2594419409613375,0.250871612174689,0.11184719947769921,0.5432592870092869,0.5222915997561601,0.2772509904862846,0.25106581536958833,0.12108564303388064,0.47821001428184684,0.44240288365774183,0.29402928743961354,0.2515944945700164,0.12873317085088912,0.5267553626928626,0.5309673404950661,0.3777676715176715,0.2429794897953056,0.13069809177064645,0.5111735832041262,0.4477302549002451,0.23877102624246188,0.2584493906412823,0.1376737969121284,0.5385510323010323,0.5323462954580178,0.25959249084249086,0.255633427113971,0.13274739764786925,0.5152255801011457,0.4989454001315823,0.2872037883564523,0.25189708525045157,0.11871980397309444,0.528776720964221,0.5799224104389904,0.32141083391083386,0.25003167302083906,0.13806517497163623,0.5308456485068476,0.5296063576224712,0.35749855388864005,0.24941464252156176,0.12159245954944874,0.5741088772338773,0.6158156227439039,0.3757815111263388,0.24807348765205686,0.16204429380158852,0.5564718165821108,0.47937767338894033,0.27872612681436215,0.2475974691028276,0.11507796279679258,0.5736815268065267,0.5389283079911655,0.3207589285714286,0.249050742400531,0.1536299070615822,0.5123449176828702,0.4526723490949744,0.26105074639670556,0.25115212552919197,0.10898190121822016,0.4876667314167314,0.48005104671580645,0.3012612612612613,0.25071941899652794,0.11935746643765371,0.41292656407192607,0.41857366449214795,0.31620857779226424,0.2840404412507379,0.20519484464658008,0.4736975986975987,0.5100988589676229,0.3218810366008642,0.27711562718044924,0.21181227957223625,0.4821588024218115,0.4582335666674625,0.19919135694249648,0.24882749755161337,0.08931610811357435,0.5095735283235283,0.5401466876576568,0.23171580671580672,0.24762471263712904,0.09369185175191197,0.49825438356264146,0.4887786350060699,0.22579318760611203,0.24874995909845665,0.08607688628644933,0.5563415172790173,0.5988900711482628,0.2557057057057057,0.24585906457524503,0.08788429550690657
ADANIPORTS,488,69,8,0.5195839009585332,0.5573843301136254,0.37744566758199477,0.26753364422172976,0.17252391335870637,0.6027777777777777,0.6067965933106307,0.4975498575498576,0.2382171348138094,0.09935804116551192,0.5041738336416437,0.523676976356947,0.28209970419272745,0.26422046495536966,0.1328553484416086,0.5471590909090909,0.5751370102678353,0.4394230769230769,0.2465672045018057,0.16100983235774227,0.4839957664315604,0.49869099155575247,0.3091534324292945,0.2863470562080688,0.19685932492377062,0.583946608946609,0.5591058342528931,0.4092307692307693,0.3206372378067768,0.2815561258189814,0.5761742795384304,0.5293375660587174,0.3032368015126635,0.26844660560997446,0.15035099679604635,0.5105564574314574,0.5045664098972922,0.47516483516483515,0.24006848925721752,0.1290219914496431,0.47990470080355974,0.49317760987810677,0.36736551918877014,0.2841583787218559,0.17683226666519425,0.525450937950938,0.5199818459558718,0.4287037037037037,0.2444981062885839,0.15721304705752281,0.5029054820137486,0.4761618540550436,0.293278413647299,0.2709070456370959,0.16526589181256243,0.5,0.4599305555555555,0.4437037037037037,0.25422440684298325,0.12422959801403369,0.5333348611648301,0.5463184210206143,0.27813600334092137,0.26562177557594374,0.14504229569511096,0.46213023088023086,0.5291263249136626,0.3787878787878788,0.23779117282840811,0.10969693639828663,0.5289255162956996,0.5401482861952126,0.30415450220311946,0.2811716860423428,0.18344184143486197,0.5296536796536796,0.5211439689777161,0.4728163992869875,0.284759440530293,0.2775347743006343,0.49838266939936704,0.49400204283187443,0.34891392144440925,0.2738754436057538,0.1791160172534737,0.4686778499278499,0.446642131017131,0.3783249158249158,0.25085912409984035,0.14759610262019512,0.4810536707006141,0.49145417498881905,0.38944981642059895,0.281875301462471,0.18302296203120502,0.49119318181818183,0.4641008297258298,0.5574291938997822,0.25598542952481007,0.13410514865641232,0.5474334125580448,0.5703013969032708,0.3605568472286331,0.264453921336255,0.16157475520566056,0.6097222222222222,0.6208793235101486,0.46717948717948715,0.23942305796448377,0.14347642621342196,0.5452303423227336,0.5697807296493475,0.3114739347497968,0.25677527080470414,0.1317244713062049,0.6127435064935065,0.596452615958441,0.536011396011396,0.23783898935041914,0.12264470918710668,0.5290993865947384,0.5459663814202631,0.293278413647299,0.2591618212531266,0.12971525993209615,0.5675414862914863,0.5803649227756371,0.4437037037037037,0.23722460342012236,0.07617620751067947
ADANIPOWER,488,156,8,0.4770565382950679,0.44152135850176727,0.24383223684210525,0.2717427224432043,0.18433666265424778,0.4621875,0.538303522431435,0.19545454545454544,0.29331926651437806,0.30776103053064285,0.48454853554521893,0.43358888575451404,0.2862963516746412,0.24413859344109315,0.10613366599998669,0.5871248196248197,0.5418399978307351,0.29991830065359476,0.24125291822120548,0.17143302116813836,0.44636872550640916,0.4074070324309669,0.16316109205260146,0.2601633782314546,0.14974745539862094,0.39877525252525253,0.464788728393102,0.16951155462184875,0.2799133137608475,0.26151234060406037,0.5033824824491002,0.43263453521367073,0.19924517406368586,0.2550319103295343,0.15192661085218323,0.44310335497835496,0.450561859844948,0.2361111111111111,0.2662592461801515,0.24467317867207203,0.5201093359072266,0.4380274869131692,0.23544850028296546,0.2868440033040971,0.18742363863826977,0.5555199314574315,0.48868144285686305,0.2093253968253968,0.2903127944833275,0.26444726506601895,0.5196942506340543,0.44529976630798146,0.2546700249740177,0.24906204762666365,0.15571567356452054,0.5112599206349207,0.5246307944312145,0.19981060606060608,0.25993286129837345,0.25873202654198524,0.4968704109257292,0.4619609143275386,0.22416666666666668,0.24690186244462403,0.12846785274774714,0.4769453463203463,0.5054911008162536,0.20288957688338494,0.2553182861711024,0.22577390862570296,0.5353261094289129,0.4566886125544731,0.23215834055892748,0.24338299744531927,0.12741270300321134,0.601097132034632,0.5553475556889422,0.22730015082956262,0.24235161737391026,0.22686520844983607,0.48798697452455475,0.42711649371838223,0.2367063492063492,0.26287817884377435,0.1659596708606213,0.3971856962481962,0.4375465269635437,0.20483193277310924,0.27939755314083237,0.2645192001187285,0.5157528855693019,0.4559101929808736,0.23937370020796672,0.25761421157685105,0.17113609283604153,0.38157693001443,0.44300752533301235,0.1999198717948718,0.27651982857314283,0.2754265367500562,0.4875056745479744,0.44970049944174767,0.2964638157894737,0.26773241600460196,0.1803938219638288,0.49256628787878787,0.5690804475265419,0.26898395721925134,0.28092838044202373,0.29196839975279026,0.4248003918942281,0.4051155644233211,0.23083613742107015,0.24458017478761662,0.11228083255626678,0.370181277056277,0.5010469460352481,0.21770833333333334,0.2517005113270262,0.20535603200823901,0.4749805427855847,0.4295661790353763,0.23038194444444446,0.25000982668023297,0.12457355047093266,0.38253697691197686,0.45303966231367876,0.21495098039215688,0.2561709295771644,0.20546711194600925
AMBUJACEM,488,174,8,0.5384759811365217,0.6051384948574872,0.3564779596048946,0.26636247223085247,0.13475566454197258,0.5105215419501133,0.5902305698329304,0.32967032967032966,0.2452045866412805,0.16279675761416068,0.49720079679569096,0.550609806223278,0.3633797959668543,0.265855520996378,0.15733825932656703,0.5061904761904762,0.57450870892462,0.313860453272218,0.2615664230042876,0.17759886663336624,0.5288179389498755,0.5731322030110028,0.31898588394903177,0.2691007851722381,0.1621861878580254,0.5454081632653062,0.5906820338858153,0.2809523809523809,0.26298937357539276,0.22238544309489885,0.48825057707119346,0.5305089247483588,0.3016739995178399,0.2596067047062509,0.1076100083609432,0.46532879818594103,0.5095316147151617,0.24603174603174602,0.2496439886247488,0.10540360043229505,0.5106902777333269,0.5450524031571544,0.2968097425635545,0.2598052827354463,0.09841306561347912,0.5453061224489796,0.5422330463285793,0.30457637600494747,0.25265568619989515,0.10850170559236941,0.47527936421654243,0.5235353610782748,0.22980999642143696,0.2708261496739802,0.1377114760412116,0.42293650793650794,0.48908336221250864,0.08403361344537816,0.26624135148679884,0.16033349303693223,0.5296779621979851,0.5869749499950274,0.4292218739047488,0.26831453280993406,0.12165604965396434,0.5217120181405895,0.6095248068556339,0.41100893585365633,0.25002500247465076,0.14363583623213075,0.5319630050536801,0.588271586048146,0.32425301331976253,0.2673440377330075,0.12398863528424119,0.4816439909297053,0.5712983697752605,0.26903488668194553,0.2543465524887446,0.12143368210198782,0.5117269214743114,0.5439502610391,0.4409376905369856,0.2761603092734993,0.1549509083313868,0.5192346938775511,0.5438850001211788,0.36226058275747725,0.26325590055943643,0.14983444282654126,0.5041468251190075,0.5475032649048495,0.38092410025146695,0.2652399149489083,0.12365212521855776,0.48063492063492064,0.532855668337756,0.28503075871496925,0.26556754701624236,0.14833380070166255,0.5187259335582419,0.5810934166898799,0.4446519571649075,0.2747675502999144,0.17312569613356504,0.5364512471655328,0.5873787522410919,0.3971937866055513,0.2593333057947085,0.24180365271833268,0.5246807367641892,0.5879394066092509,0.2710381062716526,0.25617457261097276,0.1000820821001576,0.5428571428571428,0.5982258999579875,0.18027210884353742,0.24709106820811333,0.12831617320655983,0.521570660818015,0.5719646711827421,0.2475311618272081,0.25648556541428785,0.10001946176274593,0.5254761904761904,0.6091446422606585,0.13945578231292519,0.24792932315364052,0.12163865222788965
APOLLOHOSP,488,134,8,0.5170563797486913,0.5339120209741379,0.35307273895540636,0.2775739720603338,0.14050102428665198,0.4236111111111111,0.3893646590337767,0.42934782608695654,0.2707677110455553,0.1738356688780327,0.506331512380262,0.5095407372536793,0.4795124771921484,0.2628423950392126,0.13917019135675274,0.45833333333333337,0.4957667332667333,0.46285714285714286,0.25947561101797834,0.16626026000790345,0.433873331973712,0.46457027859365296,0.3913214240177774,0.2694380769095597,0.16748587531175324,0.5833333333333334,0.5474978452919629,0.5773809523809523,0.293668989914938,0.32576165310803107,0.5172674579377904,0.4968326416318073,0.4249645928940943,0.2758007363118603,0.14783557199392325,0.48958333333333337,0.4081806520685197,0.5454545454545454,0.2786853470278445,0.27569856772063267,0.5317882263944345,0.4993548833039973,0.32216183574879226,0.255280533473006,0.10960416868068006,0.5972222222222222,0.48749595992243056,0.4866666666666667,0.23149165733060972,0.12036441406085271,0.4854844284179341,0.49063838127396864,0.32451384142173617,0.266073007624314,0.13227562537551146,0.4583333333333333,0.44030448717948717,0.30434782608695654,0.26014295672071347,0.15529168039743096,0.5194360733315968,0.540196051764486,0.40423101673101675,0.2617320419431439,0.1270963968740461,0.5277777777777778,0.4642094017094017,0.5018181818181818,0.254592376120217,0.15467102054663878,0.5258814413455432,0.5424971493034982,0.46859313789129725,0.2628808254013901,0.15740434070355008,0.5208333333333333,0.4475037421728598,0.5224358974358975,0.26656013698894776,0.20477247633357878,0.4804028748677225,0.4812599691270332,0.3669393259866027,0.277026587382315,0.1399675650781822,0.53125,0.4580146722150399,0.5643939393939394,0.2688621647798015,0.19901296774374758,0.49627192745744053,0.5106914355743362,0.3925983977708115,0.2787334523699516,0.15548467938327473,0.45138888888888895,0.41192378393665163,0.445,0.25908389787962627,0.1506383719295464,0.5345657203964658,0.5412902288897368,0.4285636002368427,0.2883702547809537,0.16795592153989633,0.4444444444444444,0.432869560994561,0.445,0.2678700892640371,0.15410395300921254,0.483182584339008,0.5317395112282854,0.36855982182069136,0.2539838695322366,0.10753574712588063,0.6041666666666667,0.529832264345132,0.6057142857142856,0.2483794602668684,0.15639707012073223,0.49019522557468986,0.5340265728628586,0.36857173559301215,0.25592152880768027,0.10921779825326305,0.5972222222222222,0.538661629424497,0.6057142857142856,0.24982373128243127,0.15802058760886836
ASIANPAINT,488,178,8,0.47522429639732067,0.5039164048896834,0.38449782589799275,0.2928098651845249,0.20579825796610562,0.38825757575757575,0.428010709878357,0.4510873142452089,0.31229740677703993,0.2662078986784492,0.4746419958056727,0.5057256725362448,0.4010267857142857,0.2711939139889439,0.14869418036238977,0.5040909090909091,0.5136958286811227,0.581218487394958,0.27063691472699397,0.23968204905321863,0.4641105626636539,0.5024357224449123,0.3601128929797529,0.27068967672410493,0.19886648091550613,0.5612878787878788,0.5562584637584637,0.421969696969697,0.2701853436963522,0.2491321281060606,0.4690033703742228,0.4637309183096212,0.37564813677528963,0.26671118696917284,0.08848961628501203,0.4199621212121212,0.36919743655037773,0.41922077922077916,0.28057181895288397,0.19380377899704998,0.49787750557111965,0.48122275544710036,0.2676465639378197,0.2681821581087117,0.11288674699786935,0.5362878787878789,0.4283835837365249,0.39942279942279946,0.2731520790892114,0.21617065590560136,0.5049415901377328,0.4894086629309647,0.3941132890367851,0.29551656991452546,0.18357541990751983,0.5468939393939394,0.4522933961463373,0.4670995670995671,0.27708451017301466,0.24889762017293787,0.45710410449898436,0.4890557351388258,0.34754425289021207,0.28064304915946797,0.17301086946918573,0.4331060606060606,0.4176783322886264,0.45740259740259737,0.2758362356912364,0.23682079598572528,0.4893753226144837,0.5058251295416452,0.36785249754922417,0.2824221253760333,0.19509248406358415,0.5680303030303031,0.49844824293353707,0.5031674208144796,0.2849501714715028,0.26994181764850744,0.4709525870733322,0.46314610130818656,0.31496923234638513,0.27729449946966533,0.12443741322189993,0.42674242424242426,0.3826339444868857,0.41922077922077916,0.27864751986571606,0.16707022049313233,0.4863795772560636,0.4722536060931626,0.3404581623316633,0.28118693166675673,0.13486349244779644,0.3787878787878788,0.370445632798574,0.41922077922077916,0.3138951179171331,0.253055663017069,0.4665664229345171,0.5053589968621123,0.37461000538517225,0.2799880773557769,0.18413724879745808,0.39242424242424245,0.4354852059705001,0.4288624338624338,0.2902456902561272,0.25862319683185586,0.46760273947702435,0.5134231027362794,0.34614179165771064,0.25848558996710463,0.10359677702375868,0.4265909090909091,0.4765688646865117,0.4806233766233766,0.25884115632131743,0.20565745408669828,0.48263415237916707,0.515035503041801,0.3740354781598877,0.25947893365433405,0.11464118170680727,0.4318181818181818,0.46417094153123567,0.4806233766233766,0.26241585436614245,0.20037899411698223
ATGL,488,111,8,0.493558504154846,0.4772746257151577,0.2746015709950176,0.27189631995317104,0.18779307967843165,0.6413690476190476,0.6856271043771044,0.24074074074074073,0.2535318857443171,0.2802829380032292,0.5108726773537697,0.4788962223544826,0.2691183085919928,0.2502456648748509,0.12643748999352564,0.5815145502645503,0.4775252525252525,0.3703703703703704,0.2522419918556025,0.2663638159416373,0.4439676607907106,0.4357796283724098,0.22769703154194093,0.27912784538082563,0.17452442724043982,0.3834325396825397,0.3788810726310727,0.14285714285714285,0.31061148944023753,0.3326335969670595,0.5595589934206004,0.4976936697924871,0.28853989813242786,0.2689212687282897,0.15917676145219417,0.7433862433862434,0.5275252525252525,0.2692307692307692,0.25065956403537265,0.2646550676542125,0.5047861112769658,0.4478402983134347,0.31459431990113534,0.2577801454641618,0.1326280854668912,0.48735119047619047,0.332070707070707,0.25641025641025644,0.2562088006575984,0.21863163744061265,0.5214796483481403,0.46136191350315914,0.325206190335666,0.25211275307644937,0.1401167261167756,0.5319940476190476,0.3659090909090909,0.10256410256410257,0.2624920226981006,0.27318211271106374,0.5166728125703509,0.4694510875057621,0.31007287495952235,0.2744204886483065,0.18703793571526317,0.5229828042328042,0.4390782828282828,0.3148148148148148,0.2894238345296138,0.2989402045708852,0.5224523546243267,0.4736131177061391,0.24316952776205747,0.27558216629020615,0.1748163327271376,0.46048280423280424,0.33556096681096675,0.3148148148148148,0.3001650184304826,0.2837578696732841,0.4887331181374614,0.43984530349658857,0.2999035344960642,0.2909777619138507,0.18158182514088272,0.5588624338624338,0.3434343434343434,0.2692307692307692,0.25534816122400766,0.2141335912184352,0.537601866614015,0.4803991572189536,0.21350793477809607,0.2789331457936634,0.19481962186102098,0.5692791005291006,0.457070707070707,0.25071225071225073,0.25522189090358555,0.2665061356037938,0.510404625233932,0.48900345859620253,0.27316803914548277,0.2693392055192916,0.16724915114218786,0.6271494708994709,0.678219696969697,0.24074074074074073,0.25293506285164824,0.2802202132943506,0.474628837536332,0.46753761194694377,0.23576943510850862,0.2518552076296843,0.10466631593834289,0.542989417989418,0.5495159932659933,0.2518518518518518,0.25502066423470354,0.21005004039481767,0.493130752850108,0.47810299535864376,0.23465361662352602,0.2535597685424424,0.11466255446752989,0.5638227513227513,0.5689604377104377,0.2261904761904762,0.25658888049323897,0.21481790725638986
