config,branch_a,branch_b,n_feat,subset,roc_auc,pr_auc,f1,brier,ece,n_folds,period
LR_M1_full,n/a,n/a,6,all,0.5139542956622795,0.5037294393984602,0.33100332814912403,0.2525069819108041,0.05923577327875145,,2024-2025
LR_M1_top3,n/a,n/a,3,all,0.5177553546570978,0.5047734164664821,0.3191594019329861,0.25263400256063934,0.06023140853036739,,2024-2025
LGBM_M1_full,n/a,n/a,6,all,0.5048247851996825,0.49605431321903104,0.32917519199334533,0.2525872911072863,0.05962028353013379,,2024-2025
LR_M1M2M3_concat,n/a,n/a,34,all,0.5002334172135081,0.4904259744890586,0.33303386366206333,0.2524962443966354,0.05751135601162739,,2024-2025
LGBM_M1M2M3_concat,n/a,n/a,34,all,0.4983682445085757,0.4897530540669386,0.3283097531239947,0.25261017576374556,0.058404877391423665,,2024-2025
CX: M1_full | M2M3_full,6,28,34,all,0.5066788868593934,0.49889002346274947,0.3236907797789447,0.25277152534813907,0.05892144492082915,8.0,2024-2025
CX: M1_full | M2M3_full [filing],6,28,34,filing,0.5048465183443711,0.5039537161494411,0.3246138967422355,0.25293920566614797,0.06153836629734103,8.0,2024-2025
CX: M1_full | M2M3_top5+top3,6,8,14,all,0.510342525750052,0.49957758413106457,0.3220813113264341,0.252531607187576,0.058493681576711865,8.0,2024-2025
CX: M1_full | M2M3_top5+top3 [filing],6,8,14,filing,0.5079975109144856,0.4986378714227165,0.3212348693056502,0.2529073142064054,0.06158832115023,8.0,2024-2025
CX: M1_full | M2_only,6,21,27,all,0.5088896270973307,0.5001566359102403,0.32358880843840954,0.25281007281082357,0.05896435251488401,8.0,2024-2025
CX: M1_full | M2_only [filing],6,21,27,filing,0.5064464718359792,0.5006547606045827,0.32395832585634454,0.2534687023322557,0.06255963798630998,8.0,2024-2025
CX: M1_full | M3_only,6,7,13,all,0.5135316453739189,0.5014738813814212,0.3239698298430404,0.2524616375859531,0.058190213891819415,8.0,2024-2025
CX: M1_full | M3_only [filing],6,7,13,filing,0.5182904106583092,0.511376385820269,0.32441360920074386,0.2528254899104858,0.06331462364828058,8.0,2024-2025
CX: M1_top3 | M2M3_full,3,28,31,all,0.5070981971044659,0.49500024299926915,0.32337103550545065,0.25276028117637295,0.05848815891388727,8.0,2024-2025
CX: M1_top3 | M2M3_full [filing],3,28,31,filing,0.5052562632843218,0.5027924043412451,0.32366616596462844,0.2528491059268331,0.06074582357369673,8.0,2024-2025
CX: M1_top3 | M2M3_top5+top3,3,8,11,all,0.507756185469402,0.496047682778356,0.32217690770015106,0.25249537065481076,0.0577782226210418,8.0,2024-2025
CX: M1_top3 | M2M3_top5+top3 [filing],3,8,11,filing,0.501016315397529,0.4980510419081652,0.3213911347038855,0.2528330395285386,0.06071011445391468,8.0,2024-2025
CX: M1_top3 | M3_only,3,7,10,all,0.5165261139467459,0.503208704535199,0.32367422231699783,0.25242813921010565,0.05808227075440431,8.0,2024-2025
CX: M1_top3 | M3_only [filing],3,7,10,filing,0.5251546365820645,0.5187907768717142,0.32417628866091525,0.2527259206818284,0.06269640225228224,8.0,2024-2025
CX: M1_top3 | M2_only,3,21,24,all,0.5114891263314139,0.4999340585756825,0.32342118871834485,0.2527809270355564,0.05861013193121986,8.0,2024-2025
CX: M1_top3 | M2_only [filing],3,21,24,filing,0.5099446110764918,0.5045447262867353,0.32390931770809606,0.2533626844534802,0.06178579158310615,8.0,2024-2025
LR_M1_full,n/a,n/a,6,all,0.507527293047573,0.5086016860875499,0.39153446618660187,0.2518709267849855,0.04367484906228734,,10-year
LR_M1_top3,n/a,n/a,3,all,0.5049098008792614,0.5061137539772578,0.3694642543137876,0.25199507361449563,0.043888931331541974,,10-year
LGBM_M1_full,n/a,n/a,6,all,0.5025371361717262,0.5037361932952922,0.3674116888692665,0.25157544970867585,0.04024147449795607,,10-year
LR_M1M2M3_concat,n/a,n/a,34,all,0.5093542258158953,0.5089905500494599,0.3770837836470355,0.25163563727366095,0.04157196317268461,,10-year
LGBM_M1M2M3_concat,n/a,n/a,34,all,0.506476876799453,0.5049941883091693,0.38197514510570185,0.2515731559549435,0.04054348922024453,,10-year
CX: M1_full | M2M3_full,6,28,34,all,0.5069855786877394,0.5075828293573005,0.37051772035513814,0.2516050687566426,0.04158716131967788,56.0,10-year
CX: M1_full | M2M3_full [filing],6,28,34,filing,0.5039600182104139,0.5062032547135168,0.37319550996869755,0.25159446574008587,0.045376978866783955,56.0,10-year
CX: M1_full | M2M3_top5+top3,6,8,14,all,0.5080674120910247,0.5081842538296041,0.37129073391959383,0.25165928840364676,0.041305072633189166,56.0,10-year
CX: M1_full | M2M3_top5+top3 [filing],6,8,14,filing,0.5051449175738157,0.5077381936776116,0.37670621270646265,0.2517121094413146,0.04506313239548075,56.0,10-year
CX: M1_full | M2_only,6,21,27,all,0.5058402598419779,0.5066433990365236,0.37366897210788913,0.2516103058206145,0.041793705636341646,56.0,10-year
CX: M1_full | M2_only [filing],6,21,27,filing,0.5027564953261119,0.5060031169382834,0.375723752826985,0.2516463032907164,0.04632668901140396,56.0,10-year
CX: M1_full | M3_only,6,7,13,all,0.5094317391320643,0.5097248732462848,0.36604181373774775,0.2515384752365143,0.04100033162986986,56.0,10-year
CX: M1_full | M3_only [filing],6,7,13,filing,0.5056723883584285,0.5075502333649293,0.37007592876349016,0.2516618797312384,0.044098748254399266,56.0,10-year
CX: M1_top3 | M2M3_full,3,28,31,all,0.5065908746297627,0.5057430336639788,0.3496346221265364,0.25160520591709384,0.04116111592439601,56.0,10-year
CX: M1_top3 | M2M3_full [filing],3,28,31,filing,0.5050252110900884,0.507794482167367,0.35093001140715524,0.25155302976722027,0.04559985075178302,56.0,10-year
CX: M1_top3 | M2M3_top5+top3,3,8,11,all,0.5031020240924302,0.5038143185508899,0.3410016565798918,0.2516635930892894,0.0410706789103731,56.0,10-year
CX: M1_top3 | M2M3_top5+top3 [filing],3,8,11,filing,0.5010716808798702,0.5061385499698153,0.3434417006633943,0.25167211837650066,0.04480706336936069,56.0,10-year
CX: M1_top3 | M3_only,3,7,10,all,0.5063784784917486,0.5056600064167134,0.34323777122784666,0.251537829400994,0.0407786441550561,56.0,10-year
CX: M1_top3 | M3_only [filing],3,7,10,filing,0.5074948110875868,0.5099981625989625,0.344720805770167,0.2516101934496167,0.04458974455867181,56.0,10-year
CX: M1_top3 | M2_only,3,21,24,all,0.5039018377211505,0.5043123198567577,0.34209304229525894,0.2516209039369252,0.04147899437195512,56.0,10-year
CX: M1_top3 | M2_only [filing],3,21,24,filing,0.5024818922925097,0.5061465874083121,0.3432873133889527,0.25161290828774047,0.04649615201230263,56.0,10-year
