fold,comparison,delta_roc_auc,delta_pr_auc,delta_f1,delta_brier,delta_ece
0,tokens_vs_numeric,0.05873615333793947,0.05146884635060556,0.5199516324062878,-0.0004640524900060561,0.002944888138587457
0,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
1,tokens_vs_numeric,0.0007747400833270079,0.0018647172921102406,-0.05643919958953309,-0.0003414308174090608,-0.0034064925305985275
1,fusion_vs_tokens,-0.010874710803701726,-0.006459196447517801,0.06572295247724974,0.0005054112462782312,0.0008411060046034646
2,tokens_vs_numeric,0.015951342746400976,0.015767362542419727,-0.019248109847486816,-0.0003224808643133015,-0.000119113989819895
2,fusion_vs_tokens,-0.003010970376522759,-0.0009190636321622092,0.003149546943910897,5.547763391539062e-05,-0.0017273312634291218
3,tokens_vs_numeric,0.0021574030360254626,0.004643777356950263,0.0,-6.139239083768899e-08,-1.1060001390283958e-06
3,fusion_vs_tokens,0.03951191167925622,0.019067828021514077,-0.0029921495066972392,-0.00026756688112669624,-0.00013505492023269464
4,tokens_vs_numeric,-0.0052108963727852675,-0.010666772912090616,-0.010705042167893863,0.0005406163754251292,0.0009669663420280236
4,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
5,tokens_vs_numeric,0.0017560284155527794,0.0027401755481571977,0.008660994959726276,-0.0004514101788384295,-0.0028907432834539247
5,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
6,tokens_vs_numeric,-0.0016006289207158853,0.003564086186564397,0.0031235637752983145,-4.04475319598363e-05,-0.0006186283364548436
6,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
7,tokens_vs_numeric,0.003335079782302186,9.566413351408398e-05,-0.16401517872106106,0.0001331972578488272,0.0028533424934632564
7,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
8,tokens_vs_numeric,0.020981875959389218,0.005215647964702641,0.26455343082114735,-0.0003201303063017358,-0.0012361989236749915
8,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
9,tokens_vs_numeric,0.007258876091368105,0.004009705691518817,0.0,-2.848133226207583e-07,5.725173615744872e-07
9,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
10,tokens_vs_numeric,-0.0029738321770540477,-0.004770123486187439,-0.010237393222665592,9.173847791144052e-05,2.8417746813974576e-05
10,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
11,tokens_vs_numeric,-0.0013496469003688727,0.005469663611754938,0.02563510857658352,-0.0006295634122815141,-0.0018886178422793803
11,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
12,tokens_vs_numeric,-0.00915987447224309,-0.01374137810575432,0.0,0.0002947337861718413,-0.00036983782547682365
12,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
13,tokens_vs_numeric,-0.008212734457922033,-0.008236445307838958,-0.035506545703682946,0.0005479208023004001,-0.006273996927807984
13,fusion_vs_tokens,-0.00019674425466287282,-0.00021336853220843555,0.010364469554533073,-6.003580917940399e-05,0.005346400533554832
14,tokens_vs_numeric,0.0031979986564761864,0.0026407009597687603,0.0,-5.945218931047158e-07,-2.3312103186956534e-05
14,fusion_vs_tokens,-0.01771059102373984,-0.00825796658153588,0.40237076061903193,0.0002921976894583733,0.004446098208968401
15,tokens_vs_numeric,0.00012269816582810567,-0.0008724551566565153,-0.014052850837849351,0.0004830059349534843,0.004756445653520052
15,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
16,tokens_vs_numeric,0.010878048139583707,0.005262163558127919,-0.015364159017458023,-0.0005304768504213742,0.00046689686236270345
16,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
17,tokens_vs_numeric,-0.008494290662518056,-0.0030510025457759493,0.034502587694077054,3.9058713365291986e-05,-0.000709818659134151
17,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
18,tokens_vs_numeric,-0.0022551963728435487,-0.0037232396070838725,0.0,1.8211188057559724e-07,1.679546691502054e-06
18,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
19,tokens_vs_numeric,0.006682036287299353,-0.006799870791242224,-0.06753646169650951,4.1385093759616076e-05,0.006038049374806899
19,fusion_vs_tokens,0.0,0.0,0.0,0.0,0.0
20,tokens_vs_numeric,0.05586228351114825,0.032924740636883276,-0.022613068450175522,0.0005520618532557364,0.005115421215698052
20,fusion_vs_tokens,-0.0047664946315523204,-0.00017845990594872463,0.006028148467824512,-0.00023610823970993122,-0.0018520666343151415
21,tokens_vs_numeric,0.010174227481919818,0.007336947087975054,0.0,2.7114354499424564e-06,1.3717519178890747e-05
21,fusion_vs_tokens,-0.00336151028458731,-0.0002842677840543262,0.0010251153254741158,0.0004059700256273113,-9.795623806643783e-05
