strategy,variant,n_features,roc_auc,pr_auc,f1,brier,ece
S0_full_M1,LR_concat,6,0.5139542956622795,0.5037294393984602,0.33100332814912403,0.2525069819108041,0.05923577327875145
S0_full_M1,LGBM_concat,6,0.5048247851996825,0.49605431321903104,0.32917519199334533,0.2525872911072863,0.05962028353013379
S0_full_M1M2,LR_concat,27,0.49989547505034143,0.4912620979100788,0.32574464930054786,0.25245119000103966,0.057228712497023944
S0_full_M1M2,LGBM_concat,27,0.5067506533301804,0.4959404437945507,0.32747021414272726,0.25247669366555553,0.057985527189930906
S0_full_M1M2,Late_LR,27,0.5110233258011938,0.5006382159314011,0.3240124317624328,0.2527020297861019,0.05830511419162656
S0_full_M1M2,Late_LGBM,27,0.5022852413785294,0.4960438323824089,0.3237379347189901,0.25263756544117555,0.05850443597133764
S0_full_M1M2,CrossModal,27,0.5088896270973307,0.5001566359102403,0.32358880843840954,0.25281007281082357,0.05896435251488401
S0_full_all,LR_concat,34,0.5002334172135081,0.4904259744890586,0.33303386366206333,0.2524962443966354,0.05751135601162739
S0_full_all,LGBM_concat,34,0.4983682445085757,0.4897530540669386,0.3283097531239947,0.25261017576374556,0.058404877391423665
S0_full_all,Late_LR,34,0.5145166112313895,0.5042224554789975,0.32404043557003076,0.25267774477828403,0.058260985121084366
S0_full_all,Late_LGBM,34,0.5022738235762807,0.4961204829989697,0.3237499961786572,0.2526287643458712,0.058494119398669296
S0_full_all,CrossModal,34,0.512203887484943,0.5032654299422301,0.3236028053717665,0.2527686278109023,0.058804421802863376
S1_top3_M1,LR_concat,3,0.5177553546570978,0.5047734164664821,0.3191594019329861,0.25263400256063934,0.06023140853036739
S1_top3_M1,LGBM_concat,3,0.49306166428955245,0.4849930665952881,0.3225261933464094,0.25257350359728137,0.05797260182823938
S1_top4_M1,LR_concat,4,0.516176722860724,0.5050245033842803,0.33139186135901344,0.2526296034599038,0.05969813845991749
S1_top4_M1,LGBM_concat,4,0.5051939663474079,0.4943422523953387,0.3296537892155797,0.25248069491943326,0.05815150839692133
S2_M1+top5_M2,LR_concat,11,0.5093237778544435,0.500131160035014,0.35301070037157967,0.25231611307883667,0.05820297067469464
S2_M1+top5_M2,LGBM_concat,11,0.5047906990416058,0.49514861469134275,0.33159057919775903,0.2526013380525092,0.05929516593905498
S2_M1+top5_M2,Late_LR,11,0.5056125433188421,0.49603087015969627,0.3258419175173769,0.25274309237476295,0.05913983388154719
S2_M1+top5_M2,Late_LGBM,11,0.49884735875600883,0.4909941228950081,0.33329517446716994,0.2526553668127419,0.0581142070387107
S2_M1+top5_M2,CrossModal,11,0.5069600400159497,0.49743334766927366,0.3353955728984891,0.2528072955880428,0.05903761040685046
S2_M1+top10_M2,LR_concat,16,0.5049597446668331,0.49673482764742244,0.3415954852536948,0.25226547582579156,0.05651400484116492
S2_M1+top10_M2,LGBM_concat,16,0.5067361049610435,0.4961506513863261,0.32208159784385704,0.2525429806024522,0.05864305921743403
S2_M1+top10_M2,Late_LR,16,0.507962829782664,0.498098695765816,0.3224934124613641,0.25267256978083535,0.05863761520318513
S2_M1+top10_M2,Late_LGBM,16,0.49801896413306224,0.4886928986137685,0.3239898047910974,0.25262223396349515,0.058288177864957005
S2_M1+top10_M2,CrossModal,16,0.5074331884122756,0.4970465246754024,0.32229438626238727,0.2527378903804041,0.05906670199424683
S2_M1+top15_M2,LR_concat,21,0.5057624540883389,0.49517793609383987,0.33110353687725574,0.25229076686178153,0.056853781718551336
S2_M1+top15_M2,LGBM_concat,21,0.4982495761831094,0.49133895051363974,0.3260404592264852,0.2525291257015083,0.058136057745191067
S2_M1+top15_M2,Late_LR,21,0.5139839722242923,0.5039693898378141,0.32341329600008956,0.25256722061989767,0.058180143558203924
S2_M1+top15_M2,Late_LGBM,21,0.5018192979282952,0.4945534033951087,0.3239898047910974,0.2526238555467938,0.05835839523221146
