roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept,n,fold,variant,subset
0.5059706973589462,0.44508573637615945,0.6114559319028197,0.2517685240847986,0.07069231625793926,3936,0.444867879152298,-6.349626823850888,3.7080907482979963,3936,0,numeric_only,all_days
0.5449198477684234,0.509045363189267,0.6215139442231076,0.2509981098856618,0.05739994089947036,699,0.46065807342529297,-6.170025379404391,3.6284284504523034,699,0,numeric_only,filing_days
0.49744855304470603,0.43249709644133844,0.609277238403452,0.2519348878553258,0.07356268435235959,3237,0.441458135843277,-6.225339411842967,3.641493316037158,3237,0,numeric_only,no_filing_days
0.49717517006802725,0.47368655638048307,0.0,0.2491070355304307,0.019653422476232918,3766,0.46468400955200195,,,3766,1,numeric_only,all_days
0.5015902464882057,0.4544893137939868,0.0,0.2467275097607606,0.0039584844271075,553,0.4430379867553711,,,553,1,numeric_only,filing_days
0.4973437487843021,0.4808834424908244,0.0,0.24951658353871817,0.0237173655788121,3213,0.46840959787368774,,,3213,1,numeric_only,no_filing_days
0.5375680892696599,0.48650302210325835,0.05056481979558903,0.24611166101896553,0.03407401957080625,4074,0.4374079406261444,4.204214654177876,-1.528656438535915,4074,2,numeric_only,all_days
0.5501043211886585,0.49977205788551,0.07575757575757576,0.2452736403925682,0.05003575235621757,582,0.42783504724502563,5.737479963103737,-2.268048802167269,582,2,numeric_only,filing_days
0.5361512440116983,0.4841469415282042,0.04639498432601881,0.24625133112336509,0.0314137511364511,3492,0.43900343775749207,3.8612224829250827,-1.365227828845094,3492,2,numeric_only,no_filing_days
0.5153877018848327,0.5806991149109539,0.017013232514177693,0.26316197919389805,0.1323386817566891,3686,0.5661964416503906,0.6944759318798922,0.26626232888085344,3686,3,numeric_only,all_days
0.5273806406563672,0.6265521870799136,0.0,0.26604711370891326,0.15623382681555348,486,0.5864197611808777,-0.2140967835573647,0.6785211851667081,486,3,numeric_only,filing_days
0.5142485935989102,0.5758003454239767,0.019661387220098307,0.2627237993894301,0.12870965074556417,3200,0.5631250143051147,0.7914324106093381,0.21811936751766176,3200,3,numeric_only,no_filing_days
0.5203957820492676,0.5588562864865041,0.6905311778290993,0.24895785115721056,0.024815563749500783,4074,0.539027988910675,0.454666319391354,0.27787313116884255,4074,4,numeric_only,all_days
0.5166556082954796,0.53957230646303,0.6749716874292185,0.2517875546275772,0.0504432797260171,1189,0.5231286883354187,-0.2549391638517612,0.6878898710575354,1189,4,numeric_only,filing_days
0.5233533671203587,0.5684464038207773,0.696927374301676,0.24779164061084452,0.015839090984191263,2885,0.5455805659294128,0.6773519113503641,0.1518793683436659,2885,4,numeric_only,no_filing_days
0.5090404660455936,0.4558703681905383,0.6172006745362564,0.255759945225926,0.09296972515132862,4100,0.44634145498275757,,,4100,5,numeric_only,all_days
0.5175448382081991,0.4562137265624623,0.6162361623616236,0.2558479897674517,0.09405884306321932,1500,0.445333331823349,,,1500,5,numeric_only,filing_days
0.5034590976662461,0.4558635186857518,0.6177565124933546,0.25570915029812263,0.09234137528579367,2600,0.44692307710647583,,,2600,5,numeric_only,no_filing_days
0.5125201896598681,0.522831139124354,0.0028076743097800653,0.25463258308736647,0.07152998038805226,4116,0.5179786086082458,1.4457934079347459,-0.12800588573286287,4116,6,numeric_only,all_days
0.49213783498438796,0.5222859145842793,0.0,0.2561839956368549,0.08369441917820622,1337,0.5310396552085876,,,1337,6,numeric_only,filing_days
0.5208425966520422,0.5242493213579458,0.004210526315789474,0.253886185613935,0.06640728359491861,2779,0.5116948485374451,,,2779,6,numeric_only,no_filing_days
0.5135762689620404,0.5063032916154298,0.6584531143052703,0.25055627598783714,0.027812476879462422,3920,0.4908163249492645,,,3920,7,numeric_only,all_days
0.5139116422720559,0.5242937120229652,0.6609914872308462,0.2503279386827076,0.025305255907586144,1337,0.4936424791812897,,,1337,7,numeric_only,filing_days
0.513697685242944,0.4979871139117743,0.6571354302053548,0.25067446684225375,0.029110239178229746,2583,0.4893534779548645,,,2583,7,numeric_only,no_filing_days
0.5027048290156524,0.4388607954447233,0.6079279279279279,0.2517667470879133,0.06858124628739366,3936,0.444867879152298,-1.1930768955841062,1.05745218776514,3936,0,numeric_tokens,all_days
0.5320773679094518,0.48882007836492275,0.624618514750763,0.2509629867411549,0.051817455778245466,699,0.46065807342529297,3.233984263144765,-1.1966797251706833,699,0,numeric_tokens,filing_days
0.49649485685267875,0.43005509811979903,0.6043354499671557,0.2519403116484274,0.07220124008858661,3237,0.441458135843277,-2.9948652524657438,1.979798750218065,3237,0,numeric_tokens,no_filing_days
0.5024464285714285,0.47136664373299025,0.006818181818181818,0.2491139347706486,0.01924146402696225,3766,0.46468400955200195,2.185162629677323,-0.5086804132802443,3766,1,numeric_tokens,all_days
0.5141796978531672,0.4546802308594451,0.03162055335968379,0.24674677935677802,0.005676430248540527,553,0.4430379867553711,0.9600812373983858,0.012235693091034672,553,1,numeric_tokens,filing_days
0.5013094524885822,0.4773674450784854,0.0026542800265428003,0.24952135367630388,0.02353016436722021,3213,0.46840959787368774,,,3213,1,numeric_tokens,no_filing_days
0.5150932438599687,0.46007747443604685,0.023115024766097964,0.24667012228188526,0.030529868680017547,4074,0.4374079406261444,4.034901845230569,-1.4442020353103482,4074,2,numeric_tokens,all_days
0.5357767405960177,0.4919430030164168,0.038910505836575876,0.24577210884640294,0.04363488572897073,582,0.42783504724502563,5.017507801410628,-1.9215662011154504,582,2,numeric_tokens,filing_days
0.5130021940317939,0.45595930805003304,0.020512820512820513,0.246819791187799,0.028345698728067026,3492,0.43900343775749207,3.806820269063105,-1.3350344335790618,3492,2,numeric_tokens,no_filing_days
0.4871830831020706,0.5629768608327833,0.0,0.26226896416929596,0.12894341711644763,3686,0.5661964416503906,,,3686,3,numeric_tokens,all_days
0.4338308457711442,0.5430308629039293,0.0,0.26485755212257717,0.1491189812302689,486,0.5864197611808777,,,486,3,numeric_tokens,filing_days
0.4953199354079635,0.568085859096563,0.0,0.26187582237389134,0.12587924262507783,3200,0.5631250143051147,,,3200,3,numeric_tokens,no_filing_days
0.49766687810735366,0.5429173390187161,0.6964917927261024,0.24987610405634406,0.02748403827064909,4074,0.539027988910675,-0.1947877464688582,0.6602707516432599,4074,4,numeric_tokens,all_days
0.503827897718573,0.5178044814516409,0.6855870895937674,0.2521336980688672,0.042379864175436446,1189,0.5231286883354187,-0.02671161337752828,0.4690086957318224,1189,4,numeric_tokens,filing_days
0.49607901860612524,0.5566287186543255,0.7009282318315598,0.24894567796244801,0.02226403827486246,2885,0.5455805659294128,-0.13694668337336408,0.6667824657835643,2885,4,numeric_tokens,no_filing_days
0.49705856864302733,0.44995240678209636,0.6131511528608027,0.25444988807755653,0.08435594708439077,4100,0.44634145498275757,0.8368364259975373,0.031255312855381745,4100,5,numeric_tokens,all_days
0.4902586653615845,0.43333319442933615,0.6087364960075152,0.2545805825622447,0.08449005021671822,1500,0.445333331823349,-1.9802896454783283,1.4927488133517617,1500,5,numeric_tokens,filing_days
0.501587713859611,0.4619516615675391,0.6156736446591519,0.25437448741331337,0.08552577797011836,2600,0.44692307710647583,3.359054442000948,-1.2857546833142734,2600,5,numeric_tokens,no_filing_days
0.49494218286630753,0.5113180512650285,0.0,0.25479977238889034,0.07146237728950333,4116,0.5179786086082458,,,4116,6,numeric_tokens,all_days
0.4827324392928545,0.5145130276838937,0.0,0.25622828537218156,0.08426211786243576,1337,0.5310396552085876,,,1337,6,numeric_tokens,filing_days
0.4989272688264321,0.5108626525299675,0.0,0.2541125029183397,0.0653043337205545,2779,0.5116948485374451,,,2779,6,numeric_tokens,no_filing_days
0.502068586236923,0.4926272117682454,0.6584531143052703,0.2506639871757833,0.027231341220827265,3920,0.4908163249492645,,,3920,7,numeric_tokens,all_days
0.5051497247213643,0.5019805596052253,0.6609914872308462,0.2505258177581104,0.024350645676927574,1337,0.4936424791812897,,,1337,7,numeric_tokens,filing_days
