symbol,n_filings,n_days_with_filings,filing_density,avg_docs_per_day,filings_per_month,group,body_pct,mean_polarity,std_polarity,pct_positive,pct_negative,polarity_range,high_impact_pct,directional_pct,delta_tok_num,delta_fus_tok,auc_fusion
BAJAJHLDNG,145,107,0.21971252566735114,1.3425925925925926,6.252566735112937,partial,0.9862068965517241,-0.005849701397377869,0.026444244503026126,0.04827586206896552,0.034482758620689655,0.20127548277378082,0.09655172413793103,0.04827586206896552,-0.0060831980620645,0.0095151636097658,0.5452847870017341
ADANIENSOL,217,156,0.3203285420944558,1.3821656050955413,9.35728952772074,partial,0.9585253456221198,0.03023502554246632,0.13900607158468423,0.19815668202764977,0.10138248847926268,0.9629812240600586,0.0,0.0,-0.0214479692869529,0.0220226829824611,0.5452389038177737
ADANIPORTS,297,196,0.4024640657084189,1.5076142131979695,12.806981519507188,winner,0.9696969696969697,0.10126940427529892,0.25881313457049887,0.2760942760942761,0.12121212121212122,1.6442841291427612,0.037037037037037035,0.030303030303030304,0.0116073711611047,0.002471239204332,0.5361764178475771
BOSCHLTD,181,121,0.24845995893223818,1.4715447154471544,7.804928131416838,winner,0.9834254143646409,0.021915709373453704,0.09824485609441819,0.09944751381215469,0.03314917127071823,0.7834518775343895,0.03867403314917127,0.0055248618784530384,0.0161237897070927,0.0118610612651531,0.5352443521911765
CIPLA,268,162,0.3326488706365503,1.6441717791411044,11.5564681724846,winner,0.9925373134328358,0.04239670077422217,0.1345091544723675,0.26119402985074625,0.09701492537313433,0.8753497749567032,0.06716417910447761,0.055970149253731345,0.0603162636870066,0.0008726822966065,0.5277718826001035
BHEL,239,165,0.33880903490759756,1.4484848484848485,10.305954825462013,partial,0.9748953974895398,0.02309735454463061,0.17684453824621466,0.1297071129707113,0.13389121338912133,1.6457390785217285,0.016736401673640166,0.008368200836820083,-0.0107311707994519,0.0058054437583731,0.5270551714330278
CANBK,282,163,0.3347022587268994,1.709090909090909,12.160164271047229,partial,1.0,-0.00023065372667414077,0.07536881574751307,0.07446808510638298,0.04609929078014184,1.0453386306762695,0.014184397163120567,0.0,-0.0359020696489693,0.0032335887989406,0.52283187428313
DABUR,250,140,0.2874743326488706,1.7605633802816902,10.780287474332649,winner,0.996,0.06357511506974697,0.1920535246752018,0.232,0.048,1.6322054862976074,0.036,0.016,0.0079359618487001,0.0012585755855016,0.5227788219634139
APOLLOHOSP,226,134,0.2751540041067762,1.6865671641791045,9.745379876796715,winner,0.9557522123893806,0.02459191381766469,0.11367153364227732,0.26991150442477874,0.035398230088495575,1.4096782207489014,0.03982300884955752,0.017699115044247787,0.0172226879612462,0.0085423656798674,0.5140091913789585
ABB,184,103,0.21149897330595482,1.7864077669902914,7.9342915811088295,partial,0.9891304347826086,0.12606262238493757,0.25406551999799026,0.33152173913043476,0.13043478260869565,1.1483679413795471,0.02717391304347826,0.005434782608695652,-0.011596714081455,0.0012753896752091,0.5135569447733634
ADANIENT,333,208,0.4271047227926078,1.5781990521327014,14.359342915811089,partial,0.963963963963964,0.016634155775199423,0.11935953665311652,0.12912912912912913,0.09009009009009009,1.4586111903190613,0.021021021021021023,0.015015015015015015,-0.020924349069908,0.0165197560489566,0.5118717271197699
BAJFINANCE,284,149,0.3059548254620123,1.9060402684563758,12.24640657084189,partial,0.9894366197183099,0.020803688723646418,0.1211259833529339,0.11619718309859155,0.04929577464788732,0.9792288094758987,0.028169014084507043,0.0,0.0003598220917009,-0.0035886173107185,0.5075657430917262
BEL,179,138,0.28336755646817247,1.2971014492753623,7.718685831622177,partial,0.9776536312849162,0.029414372518658638,0.0942083230750521,0.22905027932960895,0.0111731843575419,0.9860575422644615,0.0446927374301676,0.00558659217877095,0.0286641771324043,-0.0139412080139008,0.5042012178559462
CHOLAFIN,215,153,0.3141683778234086,1.3870967741935485,9.27104722792608,partial,0.9674418604651163,0.0021582775597655496,0.09524348302925027,0.07906976744186046,0.023255813953488372,0.8513559103012085,0.05581395348837209,0.04186046511627907,-0.0586308809149777,0.0292559069948129,0.5035417867695795
AXISBANK,460,262,0.5379876796714579,1.7424242424242424,19.835728952772076,partial,0.9934782608695653,0.04346832893788814,0.12015386598195867,0.29782608695652174,0.015217391304347827,1.3448507189750671,0.013043478260869565,0.006521739130434782,0.0118702961875748,-0.0202809764897669,0.5020692565951097
COALINDIA,289,166,0.3408624229979466,1.7409638554216869,12.462012320328542,partial,0.9826989619377162,0.01570189338190333,0.11748383964083069,0.16608996539792387,0.0726643598615917,1.3173242211341858,0.04498269896193772,0.01384083044982699,-0.0753249680185506,0.0333319194947163,0.4995112719528635
BRITANNIA,192,131,0.26899383983572894,1.443609022556391,8.279260780287474,partial,0.984375,0.0469559274885493,0.19766630599031365,0.18229166666666666,0.0625,1.6531373858451843,0.005208333333333333,0.0,-0.0253573358896078,0.0184515971158856,0.4986984255212988
ASIANPAINT,308,177,0.36344969199178645,1.7206703910614525,13.281314168377824,winner,0.9772727272727273,0.011210255415553783,0.11752734554552814,0.1038961038961039,0.08441558441558442,1.300832837820053,0.025974025974025976,0.0,0.0059190398948105,0.013922286779625,0.4899753830956887
BHARTIARTL,663,315,0.6468172484599589,2.0849056603773586,28.589322381930184,partial,0.9924585218702866,0.11440161554364776,0.27531018026437726,0.2971342383107089,0.22624434389140272,1.5675597786903381,0.006033182503770739,0.0030165912518853697,-0.1024822147205257,0.0333694578976733,0.4868743565617696
BANKBARODA,293,201,0.4127310061601643,1.4577114427860696,12.634496919917865,loser,0.9931740614334471,-0.011863957944329281,0.09140234208976773,0.08873720136518772,0.18088737201365188,1.0583895444869995,0.0034129692832764505,0.0,-0.0147285422944871,-0.041016931060108,0.4730011333127838
ADANIPOWER,252,155,0.3182751540041068,1.6153846153846154,10.86652977412731,partial,0.9722222222222222,0.0569813763205376,0.15064605797432398,0.25,0.09523809523809523,1.2922567427158356,0.011904761904761904,0.011904761904761904,0.025879382911284,-0.031653685947046,0.4719773824958617
BAJAJFINSV,183,118,0.24229979466119098,1.5508474576271187,7.891170431211499,partial,0.9890710382513661,0.022377090569320923,0.07409563122652782,0.14754098360655737,0.01092896174863388,0.39340081065893173,0.07650273224043716,0.04371584699453552,-3.88243931818133e-05,0.0190499899975014,0.4637517320398484
BAJAJ-AUTO,273,158,0.324435318275154,1.7278481012658229,11.772073921971254,loser,0.989010989010989,0.019307183204116403,0.0973687940035229,0.09157509157509157,0.007326007326007326,0.9096248745918274,0.08058608058608059,0.06227106227106227,-0.0058931928952826,-0.0597955238460657,0.4568122081543638
ADANIGREEN,326,204,0.4188911704312115,1.5902439024390245,14.057494866529774,loser,0.9662576687116564,0.04623487356913053,0.14122661482183033,0.2331288343558282,0.0736196319018405,1.1735046803951263,0.0,0.0,-0.0086997135613446,-0.0321821571427186,0.455518559525244
ATGL,156,111,0.22792607802874743,1.3928571428571428,6.726899383983573,loser,0.9358974358974359,0.03363154617209847,0.18503978664960338,0.17307692307692307,0.14743589743589744,1.8017481565475464,0.057692307692307696,0.04487179487179487,-0.0450138232009684,-0.0452194594978823,0.4551452657850749
BPCL,283,193,0.39630390143737165,1.458762886597938,12.203285420944558,partial,0.9858657243816255,0.002575959937890511,0.12152892915689635,0.07420494699646643,0.21201413427561838,0.9924969971179962,0.02120141342756184,0.007067137809187279,0.0404614786857349,-0.0463045240736888,0.4519111618528094
