variant,subset,n_folds,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
gb_M1_numeric,all_days,56,0.5025371361717262,0.014840578746903197,0.5037361932952922,0.036546708449384485,0.3674116888692665,0.2890861849728955,0.25157544970867585,0.003445684517840104,0.04024147449795607,0.03333200633547759
gb_M1_numeric,filing_days,56,0.5012168518989635,0.02624584866192583,0.5048846076035599,0.043082897054183285,0.368646433754457,0.29006408059769384,0.25175401983565554,0.004078958131540812,0.04470073959229131,0.03821196794452498
lr_M1_numeric,all_days,56,0.507527293047573,0.02044735147380437,0.5086016860875499,0.03689539441090326,0.39153446618660187,0.27034920709607435,0.2518709267849855,0.00433609033442473,0.04367484906228734,0.035410992584858574
lr_M1_numeric,filing_days,56,0.5055543374188265,0.030454666122921466,0.5094316665001973,0.0470247924354553,0.39549845337799605,0.26791118333235975,0.2521025418879374,0.005207186742438893,0.049826697642730414,0.03833400809899023
gb_M2_num_tok,all_days,56,0.5056767960576801,0.015630380301960328,0.5051014007810608,0.034386124894641136,0.3732898123233922,0.2910967149981996,0.25155835637711266,0.003471470706982682,0.04066823771890739,0.03354394201955364
gb_M2_num_tok,filing_days,56,0.5058739567070295,0.02768023013900206,0.5072158960590567,0.0458908180573542,0.3739356942728387,0.2914273626638619,0.25175765073270556,0.004046497481522858,0.04521514600158145,0.03829560549119734
lr_M2_num_tok,all_days,56,0.5065403124712277,0.020723913162138802,0.5071977584146096,0.03644571721209498,0.3730750831068255,0.2905807863701672,0.2517015003777628,0.0037620615529794284,0.04225946690485323,0.03412352415621003
lr_M2_num_tok,filing_days,56,0.5021420130887339,0.031191003121642205,0.5068586485577344,0.04905776218892875,0.3776316495759808,0.2893378480117089,0.2518961531019451,0.0044409265987343065,0.04660506866538911,0.03797740563638431
gb_M3_text_only,all_days,56,0.49970088039442917,0.01271202540717337,0.499762055017484,0.036922136747605735,0.3397255551146859,0.3202199709777871,0.2515651847852976,0.0034811800839855567,0.03992676440634153,0.03281620144924387
gb_M3_text_only,filing_days,56,0.5035389326676329,0.023328958768408195,0.5040542689577757,0.047733398212381345,0.34295227319713933,0.3098830317553004,0.2518600786466503,0.004534036652659148,0.04422848254415331,0.038766989770650774
lr_M3_text_only,all_days,56,0.5009978371721564,0.013461822256166725,0.5007225999047009,0.03714731210135934,0.34467654526128133,0.3110186163515491,0.2515211069877616,0.003472397739777491,0.04014982375218424,0.03312538301796316
lr_M3_text_only,filing_days,56,0.4983291886649503,0.02091961713801861,0.502420380765597,0.04544554175661318,0.34660626165284036,0.3037453996154541,0.2516803402875503,0.004066776217237225,0.04374701992142439,0.03833430757125485
gb_M4a_cat_early,all_days,56,0.5064346494135772,0.014899272328815787,0.5054601960545214,0.03470604472106347,0.3832421071375786,0.28701265335217335,0.2516285883697505,0.003682812211898915,0.040883026916037686,0.03386005915616936
gb_M4a_cat_early,filing_days,56,0.5033570039700265,0.02747240723547946,0.505352957103635,0.043723772118257564,0.38073812412282976,0.28544558531561565,0.2519149135644598,0.004374190685943158,0.04658927219473752,0.03844926977779332
lr_M4a_cat_early,all_days,56,0.506449158728714,0.0208069059216657,0.5065969141156185,0.037080778114934515,0.3680825010615823,0.3000719230038908,0.2515930885252467,0.0035652005952799227,0.04069406778976187,0.03339313510672314
lr_M4a_cat_early,filing_days,56,0.5029942328373316,0.028926114060574135,0.5059956470921596,0.046462105237043624,0.3762712551815813,0.2899528370803358,0.25215721992787404,0.004200167270948616,0.0467649707418391,0.03691054836451652
gb_M4_cat_text_only,all_days,56,0.5001011648468223,0.002503489212177078,0.49985359424942377,0.03490249317791241,0.3340575686134474,0.3308146353153554,0.25153791325867025,0.0034085121507437133,0.039978603700727804,0.032832624090856355
gb_M4_cat_text_only,filing_days,56,0.4999441905026415,0.012760776741298718,0.5023757549131684,0.04307288978355593,0.3478478932024969,0.3171145396285786,0.2520449931259431,0.004417935010689909,0.045157225909762184,0.03735769288472599
lr_M4_cat_text_only,all_days,56,0.49997705644832313,0.002692584898537018,0.4998848721217917,0.03473935949368059,0.3339082252908391,0.3306013123721379,0.25159269822960806,0.0033621766447887906,0.040313545179983215,0.0330330544340209
lr_M4_cat_text_only,filing_days,56,0.4995278052497027,0.0133191720774133,0.50254378043528,0.04301472740912694,0.34625203276118366,0.3156421646028442,0.2521784209080567,0.004292029462862214,0.04626451468028384,0.03838341468610086
M3_late_fusion,all_days,56,0.5056937775705046,0.01464409537409063,0.5048644717347609,0.03410651081765476,0.3706003645960498,0.28315604146066176,0.2516079048848503,0.0035816866380853378,0.04102623002398835,0.033196265998901145
M3_late_fusion,filing_days,56,0.5062433030045973,0.02777779974106978,0.5068874742390882,0.04991805665225385,0.3745719665478277,0.2790824726505947,0.2520146831393163,0.004590253717682699,0.04654011266449958,0.038704458828814445
M4b_cat_late_fusion,all_days,56,0.5056660518875855,0.014524082619414106,0.5048422736925274,0.033621770437419436,0.3677148673920169,0.2938480922861762,0.2515817496737932,0.003488296732287701,0.040794826557554474,0.03317180552890232
M4b_cat_late_fusion,filing_days,56,0.5050593365020947,0.0257846982305462,0.5059964970181505,0.0438532874996293,0.37894513257892826,0.28105537066524794,0.25212275990709865,0.004441616490468997,0.046897449688841956,0.03674580823183075
