feature,importance
log_return,13.339285714285714
rolling_vol,8.75
volume_zscore,8.553571428571429
ma_ratio,8.446428571428571
ma_long_slope,8.035714285714286
atr,7.803571428571429
engulfing_bear_recency_20,4.946428571428571
gap_down_recency_20,4.678571428571429
gap_down_tsl,3.767857142857143
breakout_recency_20,3.4107142857142856
volume_burst_recency_20,3.357142857142857
engulfing_bull_recency_20,3.0892857142857144
round_touch_recency_20,2.982142857142857
engulfing_bear_tsl,2.6607142857142856
engulfing_bull_tsl,1.875
volume_burst_tsl,1.7142857142857142
breakout_tsl,1.625
gap_up_recency_20,1.4107142857142858
round_touch_count_20,1.3928571428571428
gap_up_tsl,1.3035714285714286
breakout_count_20,1.2321428571428572
round_touch_tsl,0.9107142857142857
p_pos_earnings,0.8214285714285714
engulfing_bear_count_20,0.7857142857142857
xmod_hi_atr,0.7678571428571429
gap_down_count_20,0.7142857142857143
volume_burst_count_20,0.7142857142857143
xmod_pol_ret,0.6071428571428571
polarity_high_impact,0.4642857142857143
gap_up_count_20,0.44642857142857145
engulfing_bull_count_20,0.44642857142857145
p_neg_earnings,0.375
polarity_earnings,0.3392857142857143
xmod_pol_trend,0.25
xmod_earn_vol,0.23214285714285715
p_neg_m_and_a,0.21428571428571427
xmod_earn_trend,0.17857142857142858
p_pos_board_outcome,0.08928571428571429
has_high_impact,0.08928571428571429
p_neg_dividend,0.07142857142857142
p_pos_m_and_a,0.05357142857142857
has_earnings,0.05357142857142857
p_neg_board_outcome,0.03571428571428571
xmod_board_vol,0.017857142857142856
polarity_board_outcome,0.017857142857142856
has_board_outcome,0.0
polarity_m_and_a,0.0
has_dividend,0.0
has_m_and_a,0.0
p_pos_dividend,0.0
polarity_dividend,0.0
