config,model,n_features,roc_auc,pr_auc,f1,brier,ece,period
LR M1 full,lr,6,0.5127479882448467,0.5032581990197853,0.3181676258128855,0.2519919029620994,0.05254237158832127,2024-2025
LR M1 top3,lr,3,0.5180946716198346,0.5050590068231107,0.3069580681822156,0.2520713210001165,0.0533308504937417,2024-2025
LGBM M1 full,lgbm,6,0.507747163136673,0.49796263137297414,0.31627308519391056,0.2517772754011187,0.049159101120506116,2024-2025
LGBM M1+M2+M3 full,lgbm,34,0.49948693920935,0.49164819211540245,0.3314429202128026,0.25181786326563804,0.0483993540288032,2024-2025
LR milestone only,lr,20,0.4971619731649486,0.4873767292539574,0.28919864359141445,0.25177736630611786,0.04773834573082144,2024-2025
LGBM milestone only,lgbm,20,0.500500903908035,0.49063368332495333,0.2815932146436253,0.25176966419093444,0.048886588078278614,2024-2025
LR M1 + milestone full,lr,26,0.51291971446226,0.5025435284619095,0.3180213503981103,0.25176350971828293,0.04956590961910328,2024-2025
LGBM M1 + milestone full,lgbm,26,0.50801274704385,0.4970277260054047,0.33770678403224974,0.2518130790079761,0.049226977568195884,2024-2025
LR M1 + milestone top5,lr,11,0.511443830772391,0.50203695734604,0.31709521893870196,0.2518612450609914,0.05079874069364806,2024-2025
LGBM M1 + milestone top5,lgbm,11,0.5073795866809216,0.4956830154777433,0.3368249893639079,0.25186217618614976,0.04898010834719871,2024-2025
LR M1 + milestone top8,lr,14,0.5065435593965331,0.49859581091756267,0.3170610420925305,0.25184379238843446,0.05058506138197365,2024-2025
LGBM M1 + milestone top8,lgbm,14,0.5073932770012797,0.49700689824703626,0.332812916376086,0.25184346225176724,0.04977877809858655,2024-2025
LR M1top3 + milestone top5,lr,8,0.5148550899616384,0.5026787055293428,0.3004015622148153,0.2518917734452501,0.05142040946974652,2024-2025
LGBM M1top3 + milestone top5,lgbm,8,0.5084288837287929,0.49423395770909606,0.3122981141484369,0.251912840931348,0.04938124592445893,2024-2025
LR M1 + ms_top5 + M3,lr,18,0.511560127040702,0.5015234081102984,0.3167675743329274,0.2518027160006726,0.050546243993998166,2024-2025
LGBM M1 + ms_top5 + M3,lgbm,18,0.508161101880386,0.49542422245965345,0.3400613140678016,0.2518975875513501,0.05021867473933878,2024-2025
LGBM all + milestone,lgbm,54,0.5048188794493009,0.49355306409426597,0.33407245519874185,0.2518346597053085,0.04867025961929228,2024-2025
LR all + milestone,lr,54,0.5025259303141647,0.4940580028325361,0.2849019834167552,0.25164717372293705,0.047701630505987594,2024-2025
CX: M1 | milestone,cx,26,0.5109768482952147,0.5002969701624113,0.290331248853413,0.2517583831828005,0.04915730662161284,2024-2025
CX: M1 | milestone_top5,cx,11,0.5139128209250781,0.5020861557976872,0.2892633059406641,0.25175846463060103,0.049487894072045124,2024-2025
CX: M1 | M3,cx,13,0.513951647171293,0.5021324398505588,0.29392345134401954,0.25172086701903684,0.049409005963667346,2024-2025
CX: M1 | milestone + M3,cx,33,0.5153009729587481,0.5041282985994848,0.2917868282159718,0.2517347402976628,0.04937822987626625,2024-2025
CX: M1 | milestone_top5 + M3,cx,18,0.51581838353482,0.5035423327863844,0.2914400004255454,0.251728301651972,0.04947122912476598,2024-2025
CX: M1 | milestone | M3,cx,33,0.5123205176756571,0.500459007903831,0.29053832984647826,0.2517540028515999,0.049210536528263876,2024-2025
