symbol,n_days,n_filings,n_folds,auc_numeric,auc_tokens,auc_fusion,f1_numeric,f1_tokens,f1_fusion,brier_numeric,brier_tokens,brier_fusion,ece_numeric,ece_tokens,ece_fusion,delta_auc_tok_num,delta_auc_fus_tok,delta_f1_tok_num,delta_f1_fus_tok,delta_brier_tok_num,delta_brier_fus_tok,delta_ece_tok_num,delta_ece_fus_tok,tok_beats_num,fus_beats_tok,full_hypothesis
BHEL,2452,888,56,0.5561532249665868,0.5309642119038233,0.5366352799370916,0.42274346919732037,0.41093820618159954,0.4142281670365276,0.2651157881953444,0.26283026175918384,0.2616283312631529,0.15103341617624075,0.13741758260612874,0.13879316867651614,-0.025189013062763554,0.005671068033268334,-0.011805263015720824,0.0032899608549280535,-0.00228552643616059,-0.0012019304960309563,-0.013615833570112007,0.0013755860703874023,False,True,False
ITC,2453,832,56,0.507809696425378,0.5201932164843159,0.5352345691091027,0.3831798672892805,0.4136620492266477,0.43394247533460667,0.26371193905742013,0.2809858323149516,0.27406273428868205,0.15015277429784094,0.18081049156063805,0.17970311188441088,0.012383520058937947,0.015041352624786786,0.03048218193736718,0.020280426107958993,0.01727389325753148,-0.0069230980262695585,0.03065771726279712,-0.001107379676227177,True,True,True
POWERGRID,2452,135,56,0.5331415140062192,0.5334388102290382,0.5337431892528028,0.36295872740999513,0.4233793693831223,0.43200015178814155,0.26728552852984294,0.26657722926254174,0.2649222354940922,0.13922212425212968,0.15016303741257309,0.1403999955875198,0.0002972962228189324,0.0003043790237646782,0.06042064197312719,0.008620782405019234,-0.0007082992673012045,-0.0016549937684495197,0.010940913160443405,-0.009763041825053276,True,True,True
TRENT,2453,105,56,0.5139107811785956,0.5247456611499411,0.5325893329290999,0.4298291977228644,0.4009394077494208,0.40097844109648545,0.26711164142344207,0.2673199008447518,0.2717451248724088,0.14534662731630993,0.14065766646282715,0.15303648085909508,0.010834879971345579,0.00784367177915879,-0.028889789973443603,3.903334706467643e-05,0.00020825942130975328,0.004425224027656993,-0.0046889608534827765,0.012378814396267923,True,True,True
IRCTC,1872,676,56,0.5214205463678433,0.5276069050770095,0.5320630015729506,0.42616005769162046,0.38830647840263727,0.4077148976634281,0.26858873366048386,0.270418666320129,0.2676059011857688,0.14902968154237217,0.1446043019544784,0.1523937401189996,0.006186358709166173,0.004456096495941142,-0.0378535792889832,0.019408419260790843,0.0018299326596451504,-0.0028127651343601845,-0.0044253795878937685,0.007789438164521184,True,True,True
TATACONSUM,2453,104,56,0.49646522858973935,0.5217634123236796,0.5309774073480774,0.43829998486498856,0.4150149348195065,0.446193259404538,0.2652045792953831,0.2707057636752931,0.26925953233619354,0.14145070645252927,0.16037733354459593,0.15879916063264224,0.02529818373394027,0.009213995024397792,-0.023285050045482036,0.031178324585031503,0.005501184379909985,-0.0014462313390995463,0.01892662709206666,-0.0015781729119536958,True,True,True
ONGC,2452,217,56,0.5333450774469913,0.5352343630402471,0.5307110450336615,0.3856519548036107,0.4106514095176107,0.39964586638137334,0.27156164450676334,0.27497555799101764,0.2731454497630982,0.1651405580496836,0.1635587167325414,0.1618864466691307,0.0018892855932557406,-0.004523318006585564,0.024999454714000002,-0.011005543136237361,0.003413913484254294,-0.001830108227919458,-0.0015818413171422019,-0.0016722700634106968,True,False,False
BOSCHLTD,2452,754,56,0.5119190321497894,0.5339635955653074,0.526999221547106,0.36505064100431434,0.41797154963179545,0.4175840039859592,0.26799028883712955,0.26787807865242713,0.26782938831257425,0.15557172971839664,0.15962231844628885,0.15793918172425597,0.02204456341551797,-0.00696437401820138,0.05292090862748111,-0.0003875456458362625,-0.0001122101847024215,-4.8690339852885955e-05,0.004050588727892213,-0.0016831367220328797,True,False,False
JSWSTEEL,2452,424,56,0.5493497348939508,0.5345202177530711,0.5268577229133149,0.4434067081206704,0.4594641199712139,0.4585082492779489,0.26825203994571273,0.27379453378196705,0.27096414557961535,0.15994168042345364,0.15020048835694766,0.14715165227246688,-0.014829517140879656,-0.007662494839756229,0.01605741185054349,-0.0009558706932649708,0.005542493836254325,-0.002830388202351708,-0.009741192066505977,-0.0030488360844807827,False,False,False
GODREJCP,2453,365,56,0.5091444199479571,0.5192040774410449,0.5235437970345994,0.39996631478542505,0.37663262961349125,0.39832483209690045,0.2673521263788004,0.2647903710584985,0.2692395768809867,0.14748562444075544,0.12783411239180903,0.15575205004985543,0.010059657493087792,0.004339719593554503,-0.023333685171933793,0.021692202483409195,-0.002561755320301895,0.0044492058224882,-0.019651512048946412,0.0279179376580464,True,True,True
