fold,variant,split,roc_auc,pr_auc,f1,brier,ece,n_samples,pos_rate,reliability_slope,reliability_intercept
0,numeric_only,test,0.4700869011748591,0.44999206897479915,0.0,0.24982062688151863,0.02674913267491741,3259,0.4700828492641449,,
1,numeric_only,test,0.49940420762614235,0.511216738933223,0.05643919958953309,0.2517270110656639,0.04152811135282206,3652,0.5082146525382996,1.7316610632199663,-0.29992829625765594
2,numeric_only,test,0.5017526647286822,0.515257753161491,0.6483308838967038,0.24993618589840172,0.007255518356539911,3400,0.5058823823928833,2.038288000942084,-0.5084835180836255
3,numeric_only,test,0.4787912382232091,0.47569784834858425,0.657623232709209,0.25015347447632375,0.01598453801643296,3513,0.48989468812942505,,
4,numeric_only,test,0.520716084501124,0.5329156979095926,0.35919540229885055,0.249889867853811,0.02148180730983859,3570,0.5123249292373657,0.5529820132490301,0.24089751633565454
5,numeric_only,test,0.5023406569860395,0.48312958528414873,0.591476336237344,0.25120570257471375,0.031251372597542924,3485,0.4849354326725006,-0.5416631936989343,0.7555325414320175
6,numeric_only,test,0.5192428829543387,0.49266700712093164,0.06210526315789474,0.2495071606055433,0.004970568326401211,3704,0.4797516167163849,-0.0035081585798545888,0.48145211204853766
7,numeric_only,test,0.5153739510268237,0.498297791666679,0.1749084249084249,0.24974534967110623,0.010487302018509202,3687,0.4909140169620514,0.671926160438697,0.16806756424788727
8,numeric_only,test,0.48956794944299314,0.46552835019751654,0.09371428571428571,0.2496928041106504,0.023759194263142977,3344,0.4691985547542572,-0.7393168621268246,0.8336505310894163
9,numeric_only,test,0.4990362231892552,0.4743683458899328,0.0,0.2493235259313946,0.004420211496667603,3809,0.4736151099205017,,
10,numeric_only,test,0.5232970094188092,0.5183791868051015,0.12878423834694858,0.2493749071631889,0.013364117458235545,3840,0.4867187440395355,3.5124753370196395,-1.1759276916579293
11,numeric_only,test,0.5103601052724582,0.4325994954794725,0.28597203428055934,0.24918045402496083,0.064115219089387,3427,0.4277794063091278,0.85990818525956,-0.0042345786077060965
12,numeric_only,test,0.4990061830090644,0.5111098090705721,0.0,0.255937913128425,0.07722217974263179,3794,0.5050079226493835,,
13,numeric_only,test,0.5246144426210461,0.5144053745246174,0.5603185757788709,0.24961807178893178,0.009202856489753553,3914,0.4994890093803406,1.8177013219122984,-0.4087701565645624
14,numeric_only,test,0.5028355007161235,0.5151611764996603,0.0,0.25001276122337657,0.012615381211359522,3554,0.512099027633667,,
15,numeric_only,test,0.514478383567731,0.4951554203537791,0.6186530698958997,0.25021963927211355,0.025815366540939733,3644,0.48600438237190247,1.9233095001240366,-0.4983834228173448
16,numeric_only,test,0.5196785001051083,0.4863918491307834,0.364784286215363,0.24852428173388777,0.03735294261189448,3919,0.45292165875434875,0.8278017589930031,0.054282420465101844
17,numeric_only,test,0.5244001126123121,0.49862366033145566,0.0,0.2503188311255578,0.028719487424703382,3465,0.48253968358039856,2.5074174039014747,-0.6559083379060504
18,numeric_only,test,0.5164301065771655,0.5168357038050535,0.0,0.25037092694864377,0.01935924845686887,3686,0.5018990635871887,,
19,numeric_only,test,0.5051482387008703,0.5240095024313207,0.5813512944643233,0.25002530692300867,0.006654636545939273,4055,0.5127003788948059,-2.233737744811276,1.6353442938654426
20,numeric_only,test,0.47306188504246477,0.3922869890830596,0.5748063595597228,0.25261599157351455,0.10937449816161926,3496,0.4033180773258209,,
21,numeric_only,test,0.483373250680943,0.5311262058161801,0.0,0.26774651505639907,0.1401278629942465,3588,0.54347825050354,,
22,numeric_only,test,0.4994215151540618,0.5096495694106257,0.6677551020408163,0.2511204435272463,0.03515781124531427,4140,0.508695662021637,-1.1639624630992955,1.0875308051434478
