symbol,n_days,n_filing,roc_auc_lm1n_all,pr_auc_lm1n_all,f1_lm1n_all,brier_lm1n_all,ece_lm1n_all,roc_auc_lm1n_filing,pr_auc_lm1n_filing,f1_lm1n_filing,brier_lm1n_filing,ece_lm1n_filing,roc_auc_lm2v_all,pr_auc_lm2v_all,f1_lm2v_all,brier_lm2v_all,ece_lm2v_all,roc_auc_lm2v_filing,pr_auc_lm2v_filing,f1_lm2v_filing,brier_lm2v_filing,ece_lm2v_filing,roc_auc_lm3t_all,pr_auc_lm3t_all,f1_lm3t_all,brier_lm3t_all,ece_lm3t_all,roc_auc_lm3t_filing,pr_auc_lm3t_filing,f1_lm3t_filing,brier_lm3t_filing,ece_lm3t_filing,roc_auc_gm1n_all,pr_auc_gm1n_all,f1_gm1n_all,brier_gm1n_all,ece_gm1n_all,roc_auc_gm1n_filing,pr_auc_gm1n_filing,f1_gm1n_filing,brier_gm1n_filing,ece_gm1n_filing,roc_auc_gm2v_all,pr_auc_gm2v_all,f1_gm2v_all,brier_gm2v_all,ece_gm2v_all,roc_auc_gm2v_filing,pr_auc_gm2v_filing,f1_gm2v_filing,brier_gm2v_filing,ece_gm2v_filing,roc_auc_gm3t_all,pr_auc_gm3t_all,f1_gm3t_all,brier_gm3t_all,ece_gm3t_all,roc_auc_gm3t_filing,pr_auc_gm3t_filing,f1_gm3t_filing,brier_gm3t_filing,ece_gm3t_filing,roc_auc_le12_all,pr_auc_le12_all,f1_le12_all,brier_le12_all,ece_le12_all,roc_auc_le12_filing,pr_auc_le12_filing,f1_le12_filing,brier_le12_filing,ece_le12_filing,roc_auc_le3_all,pr_auc_le3_all,f1_le3_all,brier_le3_all,ece_le3_all,roc_auc_le3_filing,pr_auc_le3_filing,f1_le3_filing,brier_le3_filing,ece_le3_filing,roc_auc_ge12_all,pr_auc_ge12_all,f1_ge12_all,brier_ge12_all,ece_ge12_all,roc_auc_ge12_filing,pr_auc_ge12_filing,f1_ge12_filing,brier_ge12_filing,ece_ge12_filing,roc_auc_ge3_all,pr_auc_ge3_all,f1_ge3_all,brier_ge3_all,ece_ge3_all,roc_auc_ge3_filing,pr_auc_ge3_filing,f1_ge3_filing,brier_ge3_filing,ece_ge3_filing,roc_auc_lt12_all,pr_auc_lt12_all,f1_lt12_all,brier_lt12_all,ece_lt12_all,roc_auc_lt12_filing,pr_auc_lt12_filing,f1_lt12_filing,brier_lt12_filing,ece_lt12_filing,roc_auc_lt3_all,pr_auc_lt3_all,f1_lt3_all,brier_lt3_all,ece_lt3_all,roc_auc_lt3_filing,pr_auc_lt3_filing,f1_lt3_filing,brier_lt3_filing,ece_lt3_filing,roc_auc_cx_all,pr_auc_cx_all,f1_cx_all,brier_cx_all,ece_cx_all,roc_auc_cx_filing,pr_auc_cx_filing,f1_cx_filing,brier_cx_filing,ece_cx_filing
ABB,462,97,0.5238782691796093,0.5473531368743144,0.21460462629118343,0.2805436265852467,0.18821373497767743,0.5529100529100529,0.4843434343434343,0.0,0.23322538747967153,0.181603136529419,0.4981428187505867,0.5359391199760916,0.4206650941916835,0.2815879828495295,0.1776226959254616,0.43915343915343913,0.31706349206349205,0.14285714285714285,0.2380876944742548,0.21724592850475682,0.5124730901028135,0.5418534311572357,0.3104318663318616,0.2865923696094417,0.20328955222852477,0.6058201058201058,0.6065656565656565,0.16666666666666666,0.2890564631976106,0.2949206197481402,0.5035651733033919,0.5097608214781358,0.36890758567311377,0.29200901878573376,0.1891970675811549,0.5357142857142857,0.32222222222222224,0.2222222222222222,0.24838901028232335,0.2536001393650348,0.49235272064241287,0.5078782111782221,0.38911194902556046,0.29693218760478873,0.19363841639897011,0.5489417989417988,0.5166666666666666,0.39285714285714285,0.22258819736462404,0.23911326254582113,0.4440744596422411,0.49645264967660924,0.35229634812129146,0.2880510801878953,0.18648490881107074,0.4735449735449735,0.2916666666666667,0.15384615384615385,0.2490605027500759,0.2203018966186207,0.5122815550981543,0.5533208008334822,0.3998881724886393,0.2752356664838656,0.18653312854032,0.5079365079365079,0.33632756132756136,0.45,0.2701022222273075,0.2690028990613818,0.5081334132006778,0.5664141120369879,0.39889374020712604,0.2808759951572287,0.1759371890284944,0.6296296296296295,0.6555555555555554,0.2222222222222222,0.2452262280346806,0.2196523098038624,0.48763041286372694,0.5048273953289715,0.415286982612564,0.288599277937843,0.1842976745841198,0.4920634920634921,0.33611111111111114,0.4222222222222222,0.250563629414418,0.2587003860238192,0.4644275228727991,0.495590243225984,0.3360755273905894,0.30320419749981653,0.2185278170178607,0.5555555555555556,0.3027777777777778,0.2222222222222222,0.24746817168962548,0.22023112321985058,0.505326548160451,0.5488735761394419,0.3469592403080087,0.2797028557107374,0.2002321833986756,0.43915343915343913,0.31706349206349205,0.14285714285714285,0.2383145641122633,0.22096060946844395,0.49754332027246223,0.5504027034794452,0.314682265657059,0.2702445083431984,0.14389473511967585,0.4576719576719576,0.4160714285714286,0.21428571428571427,0.24985679319635606,0.22144598955335607,0.49825701839174474,0.5311443467339483,0.3293107676661082,0.273076360025833,0.16468735208182386,0.45238095238095233,0.430952380952381,0.2857142857142857,0.23982060053805965,0.2072317846158485
ADANIENSOL,462,147,0.5446641901222655,0.5884080320949624,0.3853677281879771,0.2863148535961297,0.2023559477658773,0.5119497053872053,0.592881057955781,0.4244476158761873,0.2971289362692043,0.30334064324209736,0.5156184583562292,0.5585933576985787,0.3843764726767072,0.2710751473560432,0.15730205484259796,0.4588744711448793,0.5668969098879286,0.4317024655632044,0.2731346267357418,0.21454761112091741,0.49962665879394474,0.5610100244783293,0.3533165663437819,0.2627364661403217,0.13317314777160164,0.5545064039324242,0.6353804203629133,0.44557937885005544,0.26309572802355036,0.1732787933152924,0.5393561318750432,0.5557536532335497,0.3561085505681009,0.27153102343187474,0.17180671149343066,0.5117972454133168,0.5549278107293969,0.38585759269969794,0.26695911608587863,0.22394078982519836,0.49676697632623856,0.535287931608078,0.41354076862548905,0.27420363027796313,0.1710701449256198,0.4919188974291015,0.5408063295630493,0.4022718801666169,0.2749338882499817,0.17811660982099634,0.478663031700364,0.512820955272423,0.34688187449915175,0.2815447816384874,0.18351085058889952,0.45192269819183084,0.5047465545331534,0.381881055452484,0.2780013339843319,0.2047313836005608,0.5232162208353126,0.5606771107503052,0.4093777087679506,0.3004171444501954,0.20231932142506376,0.4813421999391386,0.5815538355239236,0.47770943342371913,0.30190854199327966,0.27044702635547757,0.5588349830433681,0.5899914217158436,0.35812793759497824,0.29366804972215566,0.1852424592930764,0.5364762512147717,0.6260397209860746,0.42624656880295975,0.28623471439534187,0.22799116105241984,0.5242108968822332,0.5476753794725808,0.3848909957916945,0.27071314711990035,0.164561617053616,0.4808793765522082,0.5469313661524164,0.38405569785269034,0.2684793734199298,0.1933503392353108,0.49525509441682036,0.5424453360335157,0.2997214117351417,0.2703187953975084,0.17585698216619683,0.5078235464459955,0.549323258077487,0.3010048931853443,0.2646196180255237,0.17400509707162184,0.5486403859966811,0.5838053193295244,0.38372334445814993,0.2860013041784279,0.20455705502247057,0.5031245183859979,0.5826215280365165,0.3779156697644092,0.2991381694651308,0.26865731753411964,0.514065875820468,0.5655647310270755,0.28150475347351,0.2615847357872693,0.13105582950562802,0.5243252189043005,0.593661785026274,0.2982365253793825,0.2628594926467208,0.14980323007092003,0.4999683293944904,0.5367349773313165,0.2812859493289145,0.26329572667827705,0.14324119948254846,0.5013153246507839,0.539971512352658,0.30255522255522255,0.2663913310708312,0.18262970094642156
ADANIENT,462,195,0.5162763201407213,0.5172387652569477,0.37249578626459906,0.28490214545801495,0.18654682850235826,0.5566264455241728,0.5902997672126008,0.4113662721553767,0.27082452460211376,0.24225611830092988,0.47246003735592446,0.4813451018930145,0.2289199173625403,0.2757132795785432,0.15460655343592045,0.47882427000608824,0.5460641565049299,0.26006330898878044,0.2711070660069784,0.19858362881808458,0.49832504214831536,0.49681356451518915,0.23906688150950448,0.26596190435398753,0.13568580115931722,0.5310006168074349,0.5751973630384996,0.2565026614626157,0.25841970713578044,0.17249313329289512,0.4999767405534634,0.48482133198791627,0.2163858232903691,0.268551478569192,0.13645235756980734,0.5653321909571909,0.5581838251215371,0.23965260556437026,0.264985221992411,0.19937339572335286,0.47631249867030906,0.46882072714420975,0.24920183528639495,0.28306836717180234,0.161443088051671,0.4157379686811505,0.46333159529949863,0.2451608187134503,0.2807823418950854,0.21403218631852153,0.4922557558184538,0.48315017781619335,0.2495507944219888,0.2637498661696925,0.14463480594024103,0.47314068759523303,0.4853262703928339,0.22866208255681944,0.26937240670835244,0.17948205297275918,0.49535197107081325,0.5156490295067738,0.18295498028608453,0.27741987340262814,0.1769393389092622,0.5226422764945494,0.5775082144166116,0.23372103219547918,0.2740221222242665,0.21655182512514023,0.4971349674704288,0.5195371540632212,0.22363587828539774,0.2695768177037685,0.1573614900664088,0.5125656843156844,0.5768671865666679,0.2512956958570994,0.26818833945645665,0.20159938597573518,0.4973901555897557,0.47423889651636697,0.2609512122654202,0.2576938290805651,0.11833052764373587,0.48184502072002083,0.5085661254714402,0.247053691922113,0.26095263953590675,0.19680169886379092,0.483484459938631,0.4703829913398669,0.2021541078896216,0.27971501307602664,0.16746027300086302,0.46570674233174236,0.4938683961404734,0.21734801980797405,0.28750763637887095,0.22307207309171537,0.4956852702265459,0.5030556088418218,0.3370881512870716,0.28894616475450163,0.18815700264664112,0.5349930116180116,0.5771925448633108,0.3713662721553767,0.2779736622513661,0.2542403129459313,0.4902564437217165,0.493284760859482,0.20752339398927275,0.25515868102186096,0.09272741491240148,0.5523686347322712,0.5913363510314054,0.24600231639705322,0.2496722526855337,0.14211785498817872,0.4618793106936256,0.4670232687799702,0.2191932326828485,0.2576735437728098,0.10506400103066914,0.4967971809335446,0.5348900409609928,0.2495857699805068,0.25329770748939984,0.13252388622124645
ADANIGREEN,462,197,0.4964004302293073,0.5143856986721866,0.31815856103447454,0.2712985965793715,0.19522871742827339,0.5023703231292517,0.5746374630595354,0.3464122406457962,0.26645764719100246,0.2007847597215818,0.4363841096514893,0.43465134506778746,0.2613976959300123,0.263763585570478,0.1741099133204845,0.486421936198722,0.5358032016769226,0.2970956248805604,0.2621125132339413,0.20248623766202378,0.5150305340579405,0.4869839160575327,0.33649423667925993,0.24904912302031873,0.12519801125621524,0.47784799525870947,0.5165857669181861,0.3492413985796338,0.24907288221685067,0.13801915074335053,0.5348620555766278,0.474181426332165,0.39182931331340953,0.2618846699933128,0.14539849676424807,0.5008936623891981,0.4945301107686571,0.4197901326522512,0.2644106501893317,0.15958451319129482,0.4955645013656378,0.4656699048614443,0.24856327815367366,0.2621114875680104,0.1472282817549907,0.5426530934343434,0.541034472412645,0.3156479430394769,0.25539337164097603,0.1650849920982993,0.5282699989280871,0.4837997273774801,0.22106174968141207,0.25737394238420147,0.12177585776141768,0.5010080073696145,0.5111937942494361,0.24925782278723455,0.25690208704335754,0.15118160241953246,0.48770071666796266,0.49714533714789855,0.3047325796865312,0.25579510797636085,0.1489096742311133,0.4344519815501959,0.5272449303351753,0.30510590200992677,0.2568567771344649,0.17756290318139775,0.45260066745494565,0.4785377873085241,0.30145610692156277,0.25635455961040227,0.1347319337043044,0.4079175041228614,0.5124290261962768,0.34850606909430437,0.26248426528606733,0.1797589058036448,0.5138023955891603,0.4728415052467076,0.36001086265564913,0.2609850593458308,0.14612254077527526,0.5450759186250257,0.529728681634183,0.4097450706237699,0.2580107959365734,0.18368843430871024,0.5093302011169659,0.48608657600939886,0.33036679168754635,0.25860089554821575,0.15021984926874024,0.5129145408163265,0.5220618437373248,0.3662983215614795,0.2589704220800849,0.17431610548475748,0.4853685219019444,0.4923549678361043,0.34594065809685504,0.26962705141837695,0.17651942069968515,0.5343891723356009,0.5706499391403635,0.37755394772735285,0.25951054496680565,0.17669097199997325,0.5245464573552809,0.5129917180521243,0.27010492180271467,0.24843887058238867,0.10753666394678059,0.5438012136672851,0.5810389521356406,0.32401740490509573,0.24585859400711305,0.11092347369125584,0.5172328161292065,0.4945594355512867,0.2970635359439913,0.2503357891107181,0.1454219293443576,0.5278554035250463,0.5632901758953114,0.3235060690943044,0.24614799560293094,0.1561039426014305
ADANIPORTS,462,183,0.5220978074821403,0.5768401942238751,0.33109074585002235,0.2697488621320801,0.1557907608745507,0.49010362856516704,0.5607947998845704,0.32680855843548695,0.28043895293964505,0.202768680513442,0.5038574015764195,0.5231675369517291,0.2786638755231889,0.27235072265228905,0.14973070158842247,0.4693861338092108,0.5234987769559494,0.22089866655084045,0.2736179197706763,0.19141692724410309,0.5347760179325974,0.5540316545774815,0.3395923862808922,0.2593323595156447,0.12944016622148774,0.563381312419774,0.6217115330229528,0.3422356628878368,0.2576521749475992,0.12535118944235465,0.5255061549627229,0.514237411954756,0.22648567747051243,0.26529308820687686,0.13176653447813566,0.5525711468019161,0.5545657236751665,0.1538063385889473,0.25902161426670167,0.1535574304857237,0.5389862209197444,0.539247719854268,0.3403394407182443,0.275012326022458,0.15741975183503157,0.496844181459566,0.5245594819124231,0.3064496916946258,0.27595944221022567,0.2130459250619045,0.5001276185303,0.504111118280645,0.2081290198225916,0.2775693468332862,0.1642134085976008,0.4785459910459911,0.48654224789614176,0.17012049735161863,0.2736012160861669,0.1714410148840885,0.5337051786432451,0.5799422767962654,0.3186795043698627,0.27426952205670335,0.18018944912802257,0.5666400551015935,0.6272684576513932,0.28366922932140326,0.27314016492397,0.19833626654234318,0.5220112380845151,0.5607778617247193,0.33803197224645476,0.2723552266357195,0.1743032412140148,0.5695986349832503,0.6186936857655652,0.3245945433236403,0.2721014728882067,0.18987798893812252,0.5369951787537642,0.5365479728728633,0.2941661465689382,0.278327448635271,0.18514879382578972,0.48397494599417684,0.496336461292031,0.26993394499788365,0.2837366174080348,0.19744606722154914,0.5154352011296433,0.5068601405587403,0.2553065359701972,0.2830182287017069,0.1639334524407225,0.5293071600763909,0.5293011261379227,0.24623444188661583,0.2727785822071933,0.19208252576415114,0.5464985459927186,0.5670908625418093,0.3558603857331152,0.27436595764363136,0.17668984628117373,0.47316615008922697,0.5365464438121194,0.3120437533481012,0.28591951159684315,0.21334499531386794,0.5574158660928302,0.5622691849889843,0.14982362222641388,0.26058068019087377,0.11449561869288817,0.4786520459597383,0.5331746491907216,0.16815141380358772,0.2604360526290232,0.13375444627595462,0.5649994293705733,0.5861859732293927,0.23553867225180872,0.260772738138811,0.12606283920383857,0.4716074167997244,0.5423872924640538,0.1938347048714942,0.2608972225514123,0.14990937366279458
ADANIPOWER,462,149,0.4777516855316238,0.4613309441358393,0.3049178700671696,0.2596721141036595,0.14709260816780814,0.4360694860694861,0.521409824912572,0.3376455118536566,0.28268354179994726,0.24775169556275503,0.47207006747097946,0.4473781951013625,0.31965307185588493,0.2648935536337517,0.15479659728774547,0.4440764790764791,0.5435992757332447,0.3473485832753567,0.2649656745725074,0.1927065089834138,0.4919781703555586,0.4721454090796412,0.26526654874937594,0.25419251660944125,0.13035793695003736,0.46115273615273605,0.5413767872668163,0.2985336862867227,0.28125745715572764,0.26035588411126587,0.4994542127188756,0.4508631486198638,0.31382960194724896,0.26722099908034097,0.16707794734532774,0.46465201465201467,0.5119010857884483,0.32780813575127954,0.2978457617136764,0.25709736663295785,0.49202006111080254,0.4359401662189022,0.17033408266784045,0.249719773133339,0.11462514531251365,0.4918722943722944,0.5051540538216363,0.18428093645484947,0.26388315479484353,0.19765228899331705,0.5379968182647203,0.47481245882493306,0.2195760037974968,0.25451966208319615,0.1468677781096103,0.48497613497613506,0.4951468353165186,0.25852684268973863,0.2668565420080537,0.22595098070274472,0.5036310684429078,0.4829680541333611,0.22254150702426564,0.255337666100681,0.13241224249453343,0.4881795981795982,0.5831695671365192,0.25693050910442217,0.27610749034397003,0.21711814946745994,0.5154404643045355,0.47407159304339863,0.22734122500224194,0.2538977415135262,0.12639722803065223,0.48424741924741926,0.5627044463562725,0.2420509442248573,0.2733341060306888,0.22764321139714486,0.5073116965408608,0.4603682005502208,0.17877090230031406,0.2671424176568024,0.1426608522284688,0.4213383838383838,0.4703448916773093,0.1794635316374447,0.29844328335828185,0.2268876973603071,0.5320953017878133,0.4732041836317085,0.2393400383874193,0.2653990594242044,0.1567923051548131,0.49867049617049614,0.5254526054938142,0.29554240871376425,0.287368352637557,0.2487185996375435,0.45167348729333084,0.43877535037122456,0.348157911223327,0.25794754556215077,0.14847863002269251,0.36739427239427236,0.49458694165909733,0.40668975809640767,0.27699137323935097,0.2259366921170319,0.4837629145978079,0.4712925251381093,0.18625180694146212,0.2441862227774426,0.09150250107295399,0.39545898545898556,0.5214739516181823,0.2210988194265786,0.25626407622489256,0.17601852684498154,0.4922263422693643,0.47466738406367415,0.21745888745888747,0.24724659942606492,0.1060356573832827,0.42318403818403816,0.5271548173539932,0.2049891285185403,0.2634437218724248,0.20386980756477888
AMBUJACEM,462,162,0.49637146919921066,0.5687577729233869,0.41987406678839345,0.26506341805182926,0.12239372116465931,0.4917845117845118,0.59696123003938,0.44598734598734596,0.25197694385856145,0.1995476365359599,0.5061363283158921,0.5837004916902886,0.5473112892786058,0.26790595805434597,0.15898893058958372,0.49646344396344405,0.5911903056849228,0.5461943730660308,0.2658636093416798,0.24677606926548884,0.49293673989023296,0.5494191941728233,0.4217150828456692,0.2539167957061776,0.11255497984765873,0.5189051226551226,0.6091381107668986,0.4007641348550439,0.2472958049154642,0.17523602231526247,0.4590684889039522,0.5108827319864765,0.49748335710349606,0.28103332485088023,0.1586406428685428,0.4957212000962001,0.5389261184057834,0.4856896691824921,0.26649017411352666,0.19008319660788023,0.5056967206792147,0.5449378588922021,0.4063352886216848,0.26649405475424237,0.12295276017408775,0.4893085618085619,0.5420412079502989,0.39601206873934147,0.2852088856586445,0.187472800728602,0.4833231097867573,0.5274568687398881,0.3363061240856349,0.2613136606169544,0.11288095235398855,0.46958724146224157,0.5170185989944234,0.3615546218487395,0.26534093302670736,0.17599303736799743,0.47171242450281237,0.5449841693379535,0.4104495389492188,0.26314602745442894,0.11975367281645226,0.45255050505050504,0.54653601449056,0.38253968253968246,0.25561939649846566,0.14980973398612246,0.5308262593719503,0.5854725148576603,0.4909951822061835,0.25714645371798256,0.11842230243798214,0.49617183742183746,0.595002108581654,0.46644669712499714,0.2497615768722989,0.1440543417286121,0.49765825153497906,0.5390120891910652,0.4426347688575333,0.26120021314166714,0.10561113755248015,0.467819264069264,0.5342673992673993,0.39453627180899903,0.2600698174523304,0.17055732982364386,0.5175726287633454,0.5520193896803055,0.43254542840223975,0.2588188594428382,0.10999851128371478,0.5621840428090429,0.5997419271945788,0.49346209346209347,0.2556752700445977,0.18782811919123246,0.48963110923163305,0.5698580964097035,0.5222448150679786,0.27318642077435473,0.17112912332532157,0.49690416065416065,0.6027271540778318,0.5758368339919143,0.26234383151031077,0.2683508484585229,0.5004919086390768,0.57730500683742,0.3629201090090668,0.2526931065594496,0.07944286243391051,0.5118843193843193,0.6145273903573814,0.36559714795008913,0.24463406229068127,0.1097936006330098,0.48136428587723074,0.5558369848578263,0.3868151736660556,0.25365684814797473,0.09776782061149622,0.5146771284271284,0.6016398868888047,0.3521008403361345,0.24712691648146592,0.1329294921392041
APOLLOHOSP,462,126,0.48824413773784486,0.5221550700027563,0.319779242026493,0.2733475966087514,0.15161547944123172,0.5061507936507937,0.5140806878306877,0.2824074074074074,0.26125360847783624,0.12989702969643493,0.4704174023885459,0.49974032206162583,0.39184992218653014,0.28995169052289066,0.1961447577368676,0.34960317460317464,0.47368726952060286,0.2510822510822511,0.25991568775353296,0.23262238559824336,0.4846640352226906,0.5076648356559207,0.32988474364478027,0.27793609907,0.17714604391758212,0.5350198412698414,0.5938509021842355,0.45584045584045585,0.275002908544465,0.3089408608867417,0.4804303343154803,0.46724637470438407,0.33362444717083684,0.28313181949097804,0.15473701025811284,0.49573412698412705,0.4748062893896227,0.4166666666666667,0.2665181396413258,0.16854312913424072,0.4896625270136005,0.47077606844020164,0.3078237904031763,0.2591079290149672,0.11778552703881337,0.4930555555555556,0.4411947774447775,0.2333333333333333,0.24676452660976056,0.11585209959753641,0.45267849369126456,0.4683950163786591,0.2548829585050129,0.27325957773282833,0.15702504940950532,0.36989087301587303,0.3713060088060088,0.2804232804232804,0.27204867831522417,0.21596482715130907,0.5054668256990911,0.531349772681947,0.3124499984512944,0.27374453316389025,0.13993907853945464,0.3424603174603174,0.4370502645502645,0.16666666666666666,0.25486738442504686,0.21473603018175438,0.5062984609067864,0.5366635288747132,0.4085620395805629,0.27650945735022947,0.1755506637202102,0.5619047619047619,0.5680670718170718,0.301994301994302,0.2494154888511593,0.1327775792440136,0.47372570936613884,0.475245566001828,0.3666718025856747,0.2616241991574419,0.13172842472113205,0.48923611111111115,0.4596808284308284,0.5200501253132832,0.2611732200061972,0.15371737289409285,0.49479040121522283,0.4834329292415859,0.362120656797933,0.2839859084709561,0.14494958082153506,0.44866071428571425,0.4188505938505938,0.3533834586466165,0.26908349808188337,0.13689145299665476,0.46947450999828505,0.49173173407932985,0.3138752775438773,0.28622018844753394,0.18689298640010096,0.28293650793650793,0.38375460958794294,0.14393939393939395,0.27210251566943017,0.2059485958940596,0.49360514928902327,0.516545892137342,0.3294196264589639,0.2564386771917191,0.11058152490562728,0.5239087301587301,0.5861260344593678,0.45722904546433957,0.242354895656686,0.14739748274218664,0.44624156241773016,0.47555218824374107,0.3352372161628824,0.26103039872070505,0.1224314928985571,0.4579365079365079,0.5138236454903121,0.5108926161557741,0.24629744139860468,0.0999183084061902
ASIANPAINT,462,169,0.47013405642125305,0.5104632544072956,0.35205216669186873,0.2644268587789844,0.12540852909850153,0.48982637732637735,0.5358895737555007,0.37798819171643205,0.25797374031955317,0.1782638821499432,0.47070499531785254,0.49013433566286274,0.289640192298176,0.27417105197130326,0.1367562812579666,0.46972703222703216,0.512714287021624,0.35078563411896746,0.2783948656392596,0.2105153224284417,0.47536813419609447,0.49322783627935807,0.3353593626988278,0.26067686421119146,0.15638884640804562,0.3717807655307655,0.43818944859622533,0.2969506891075519,0.2610956474099624,0.23221322940108935,0.4977850398358598,0.4914153541645286,0.3309066642943437,0.25826275087579664,0.12619510113110152,0.5261733636733636,0.4823276480332723,0.4644467079761197,0.24301138299231972,0.17090198446217209,0.5037915830567432,0.4899765926590792,0.27615538901560405,0.27032427507148277,0.14308433348132768,0.5149052336552337,0.48340166764029735,0.3041448463443348,0.272965475099938,0.18764837004252424,0.5083102209627202,0.49301943532628373,0.3787183594819927,0.26346305087064775,0.12613691268274274,0.5567699661449662,0.5078788546844102,0.32546989810416915,0.25933365448500206,0.21566947042969173,0.47605309631606363,0.49860029187991173,0.30930643422637166,0.2834120526688327,0.15741929863954868,0.5016793391793392,0.5278407690441145,0.31316360536309384,0.2926609792263559,0.2332552208314029,0.4730923480062776,0.5026806862510803,0.30478938106171,0.2676400696960075,0.1420811010193999,0.4998476060976061,0.5278884761827413,0.30866625086573934,0.2655948629043203,0.21751201436272888,0.520089153780981,0.5005368483101335,0.306617813600756,0.25784196816684174,0.11077111522450035,0.5499669312169312,0.49830382861987604,0.37781195893150354,0.23935044805584982,0.14710180674786896,0.5135735310117462,0.48825757384796753,0.31096889363906727,0.26476116496141017,0.12611886710459738,0.4878006253006253,0.4522616348983738,0.3629971441166887,0.25541110538952294,0.17964340993988087,0.4564988251060513,0.4831742305066208,0.3750289980428877,0.26932966862128566,0.1382454512814575,0.5067677692677692,0.5465032426884975,0.34528076463560337,0.26949722703449974,0.23766589441756622,0.47130035478050014,0.5013604674733958,0.25748966599078693,0.25492545876958034,0.09180572151176593,0.43054006179006177,0.48275947586466533,0.28348904870203046,0.24885264829187104,0.15152627256924173,0.5098833185405404,0.5282330520250006,0.26679369923023094,0.25586496914363793,0.09775293735805261,0.5154470529470528,0.5451097795361641,0.2977345899340784,0.2508920745896217,0.1760736121055268
ATGL,462,106,0.5453785484839258,0.5345967216042898,0.28470085168235737,0.2743095351610396,0.19248295128467435,0.7322222222222223,0.7339880952380952,0.2666666666666667,0.26724971791459146,0.2879815995956826,0.48808488863435434,0.4799571694063317,0.23268413115704029,0.27180287913536455,0.16366482713269231,0.43314814814814817,0.41539867539867537,0.2533333333333333,0.2705875864604705,0.22018892387204217,0.4959703474855247,0.478979867807541,0.24261293441411969,0.26228148220545744,0.12926918114692068,0.3053703703703704,0.29863978613978615,0.16730769230769232,0.3107731852604763,0.32864440784008586,0.5635914042392413,0.5182372924707543,0.24401080281951235,0.25763827856162586,0.14647390800088672,0.6348148148148148,0.6347498797498797,0.3464285714285714,0.251416655665045,0.25726715629844377,0.513027197949968,0.47633204817071617,0.25431842031842034,0.25814040070037947,0.11853898754088174,0.5507407407407408,0.445067155067155,0.18888888888888888,0.2566520743496645,0.21336963027747405,0.4798307512344486,0.4594703805451589,0.2538057948435045,0.2568721707493135,0.13786022866392295,0.4760185185185185,0.47043872793872793,0.125,0.2609143121866206,0.1730531488580644,0.5003647252829573,0.48799116942666654,0.26097615994829615,0.2705896045038321,0.163430793329232,0.47333333333333333,0.43390313390313384,0.19411764705882353,0.2599571063615068,0.172882833955241,0.47178295247153684,0.463809877927569,0.19038667375509483,0.2792988104918974,0.17278723558421086,0.4957407407407407,0.35304834054834056,0.20341880341880342,0.27819273665879257,0.2900022537160356,0.5097159435696981,0.47214222130466177,0.2436640412815276,0.27137445195745236,0.16000482532876284,0.5115740740740741,0.37126984126984125,0.30272727272727273,0.2702104517352851,0.2740029844419257,0.5547250468754871,0.5172718382730301,0.2650295026675311,0.25776268128500984,0.14646030326455545,0.7221296296296296,0.6393803418803419,0.4074509803921568,0.23248212618901415,0.24244620062055727,0.4889232630233485,0.4887148988284936,0.2712536916778204,0.2844671436672235,0.21623984510403227,0.5933333333333334,0.579755291005291,0.27999999999999997,0.2876039920453385,0.3013426260530715,0.48872427649019734,0.4831510622333427,0.249760106790393,0.25313872107412405,0.1031967173030859,0.5138888888888888,0.4081369556369556,0.29683257918552036,0.2475169758160444,0.1670422604606987,0.5209606675549803,0.5057474517130631,0.24211136624001606,0.253583021975816,0.11417967016573681,0.5403703703703704,0.4758954933954934,0.28065610859728507,0.24601135044172975,0.14956834192766869
